,Unnamed: 0.1,Unnamed: 0,Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,Eligibility_Abstract_Score,Eligibility_Title_Score,Eligibility_Score
58,64,64,Towards AI ethics’ institutionalization: knowledge bridges from business ethics to advance organizational AI ethics,AI and Ethics,3,1,10.1007/s43681-022-00150-y,Mario D. SchultzPeter Seele,2023.0,http://link.springer.com/article/10.1007/s43681-022-00150-y,Article,"This paper proposes to generate awareness for developing Artificial intelligence (AI) ethics by transferring knowledge from other fields of applied ethics, particularly from business ethics, stressing the role of organizations and processes of institutionalization. With the rapid development of AI systems in recent years, a new and thriving discourse on AI ethics has (re-)emerged, dealing primarily with ethical concepts, theories, and application contexts. We argue that business ethics insights may generate positive knowledge spillovers for AI ethics, given that debates on ethical and social responsibilities have been adopted as voluntary or mandatory regulations for organizations in both national and transnational contexts. Thus, business ethics may transfer knowledge from five core topics and concepts researched and institutionalized to AI ethics: (1) stakeholder management, (2) standardized reporting, (3) corporate governance and regulation, (4) curriculum accreditation, and as a unified topic (5) AI ethics washing derived from greenwashing. In outlining each of these five knowledge bridges, we illustrate current challenges in AI ethics and potential insights from business ethics that may advance the current debate. At the same time, we hold that business ethics can learn from AI ethics in catching up with the digital transformation, allowing for cross-fertilization between the two fields. Future debates in both disciplines of applied ethics may benefit from dialog and cross-fertilization, meant to strengthen the ethical depth and prevent ethics washing or, even worse, ethics bashing.",,0.222707423580786,0.5714285714285714,0.2459017162369429
59,66,66,An Introduction to Ethics and AI,Human-Centered Artificial Intelligence,,,10.1007/978-3-031-24349-3_13,Guido BoellaMaurizio Mori,2023.0,http://link.springer.com/chapter/10.1007/978-3-031-24349-3_13,Chapter,"In this paper we discuss the relationship between Ethics and AI. First, we present a non-exhaustive panorama of ethical issues raised by AI, with a focus on the fact that not all problems can be solved by technological advancements. Second, we introduce what is Ethics and how AI may need changing it. Finally, we will consider how AI can impact current ethical theories.",,0.2222222222222222,0.5,0.2442790184725668
61,68,68,Ecological and Ethical Contexts of Digital Literacy in the Light of Phenomenographic Studies,Information Literacy in a Post-Truth Era,,,10.1007/978-3-030-99885-1_14,Jela Steinerová,2022.0,http://link.springer.com/chapter/10.1007/978-3-030-99885-1_14,Chapter,"The paper is aimed at exploration of new contexts of the concept of digital literacy from the perspective of phenomenographic studies. Concepts and basic models of digital literacy are briefly summarized. Results of phenomenographic studies of information literacy are related to digital literacy concepts. Following the sociocultural background, we frame the concepts of digital literacy into ecological and ethical factors of digital information. We apply a meta-analysis of three selected phenomenographic studies in Slovakia related to information literacy, information ethics and information behavior. Common ecological and ethical factors were found, namely emotions, responsibility, truth and value of information. A new interpretation of digital information literacy is derived, based on social representations of experiencing digital information. Ethical awareness of digital resources and ecological adaptations are emphasized. We recommed including values of information, verification of information, digital creativity and experiences into digital information literacy development and courses.",,0.2275862068965517,0.3846153846153846,0.239655283212452
62,69,69,Should explainability be a fifth ethical principle in AI ethics?,AI and Ethics,3,1,10.1007/s43681-022-00152-w,João Figueiredo Nobre Brito CorteseFabio Gagliardi CozmanMarcos Paulo Lucca-SilveiraAdriano Figueiredo Bechara,2023.0,http://link.springer.com/article/10.1007/s43681-022-00152-w,Article,"It has been recently claimed that explainability should be added as a fifth principle to AI ethics, supplementing the four principles that are usually accepted in Bioethics: Autonomy, Beneficence, Nonmaleficence and Justice. We propose here that with regard to AI, on the one hand explainability is indeed a new dimension of ethical concern that should be paid attention to, while on the other hand, explainability in itself should not necessarily be considered an ethical “principle”. We think of explainability rather (i) as an epistemic requirement for taking into account ethical principles, but not as an ethical principle in itself; (ii) as an ethical demand that can be derived from ethical principles. We do agree that explainability is a key demand in AI Ethics, with practical importance for stakeholders to take into account; but we argue that it should not be considered as a fifth ethical principle, to maintain a philosophical consistency in the organization of AI ethical principles.",,0.2151898734177215,0.6,0.2383799375432072
63,70,70,Ethical Navigation,Risky Play,,,10.1007/978-3-031-25552-6_6,Øyvind KvalnesEllen Beate Hansen Sandseter,2023.0,http://link.springer.com/chapter/10.1007/978-3-031-25552-6_6,Chapter,"Risky play poses ethical dilemmas for decision-makers. This chapter introduces a methodology for ethical analysis. A central component is the Navigation Wheel, which outlines how decisions about risky play rely on clarifications regarding law, identity, morality, reputation, economy, and ethics. The chapter describes how the traditions of consequentialist ethics and duty ethics can provide conflicting answers about risky play. It also identifies the principle of equality and the principle of publicity as core elements in ethical analysis.",,0.1948051948051948,1.5,0.2366085871423949
64,72,72,The Ethics of AI Ethics. A Constructive Critique,Philosophy & Technology,35,3,10.1007/s13347-022-00557-9,Jan-Christoph Heilinger,2022.0,http://link.springer.com/article/10.1007/s13347-022-00557-9,Article,"The paper presents an ethical analysis and constructive critique of the current practice of AI ethics. It identifies conceptual substantive and procedural challenges and it outlines strategies to address them. The strategies include countering the hype and understanding AI as ubiquitous infrastructure including neglected issues of ethics and justice such as structural background injustices into the scope of AI ethics and making the procedures and fora of AI ethics more inclusive and better informed with regard to philosophical ethics. These measures integrate the perspective of AI justice into AI ethics, strengthening its capacity to provide comprehensive normative orientation and guidance for the development and use of AI that actually improves human lives and living together.",,0.208695652173913,0.625,0.2325982941543582
65,73,73,Developing Ethical Mindedness and Ethical Imagination in Postgraduate Professionally Oriented Education,Ethics and the Scholarship of Teaching and Learning,,,10.1007/978-3-031-11810-4_12,Mamun AlaSvetlana De VosSumesh NairJanice Orrell,2022.0,http://link.springer.com/chapter/10.1007/978-3-031-11810-4_12,Chapter,"This chapter explores the attributes of ethical mindedness and ethical imagination to argue that these are desirable graduate competencies that should be fostered in postgraduate profession-oriented education. Ethical mindedness, guided by defensible, high standards, is a disposition and a practice that encompasses respect and impartiality regarding individuals, teams, organizations and phenomena. Ethical imagination is the capability to examine and identify potential ethical issues in novel situations and create ethical ways to confront them. To ensure that ethical practices occur in higher education research, institutional ethics committees are required to examine the ethical implication of each research application based on publicly espoused regulatory ethical guidelines and standards. However, ethics committees can only call for compliance with regulations and standards but cannot ensure that all researchers will exercise ethical behaviour when they are confronted with unforeseen ethically ambiguous conditions. For this reason, in this chapter, we assert that assuring ethical research practices requires more than ensuring compliance with a set of rules. Ethics should be viewed as a knowledge discipline, incorporating attributes of ethical mindedness and ethical imagination that are fostered as graduate dispositions and capabilities that contribute to the development of ethically-minded business professionals. To conclude the chapter, we will generate a conceptual framework for situating the role of ethical mindedness and ethical imagination in a supportive institutional climate and culture in postgraduate professions-oriented research education. We also offer two propositions that would provide the opportunity for empirical testing and theoretical advancement in the field of ethics education.",,0.2145748987854251,0.5454545454545454,0.2322332426232071
66,75,75,Health professions students’ approaches towards practice-driven ethical dilemmas; a case-based qualitative study,BMC Medical Education,23,1,10.1186/s12909-023-04089-4,Phyu Hnin HlaingAhmed HasswanVida SalmanpourSarra ShorbagiTahra AlMahmoudFeras Jassim JirjeesSausan Al KawasSalman Yusuf GurayaNabil Sulaiman,2023.0,http://link.springer.com/article/10.1186/s12909-023-04089-4,Article,The findings of this study explained how health professions students resolve ethical dilemmas in their ethical reasoning process. This work sheds light on ethical development in medical education by gaining students’ perspectives in dealing with complex clinical scenarios. The findings from this qualitative evaluation will aid academic medical institutions in developing medical and research-based ethics curriculum to transform students to ethical leaders.,,0.2258064516129032,0.25,0.2305519462177278
67,76,76,The AI life cycle: a holistic approach to creating ethical AI for health decisions,Nature Medicine,28,11,10.1038/s41591-022-01993-y,Madelena Y. NgSupriya KapurKatherine D. BlizinskyTina Hernandez-Boussard,2022.0,http://link.springer.com/article/10.1038/s41591-022-01993-y,Article,"The ethical impact of AI algorithms in healthcare should be assessed at each phase, from data creation to model deployment, so that their use narrows rather than widens inequalities.",,0.1724137931034483,0.3571428571428571,0.2297917599641737
68,77,77,Data Ethics and Challenges,SpringerBriefs in Applied Sciences and Technology,,,10.1007/978-981-19-0752-4,Dr. Samiksha ShuklaJossy P. GeorgeKapil TiwariDr. Joseph Varghese Kureethara,2022.0,http://link.springer.com/book/10.1007/978-981-19-0752-4,Book,"
This book gives a thorough and systematic introduction to Data, Data Sources, Dimensions of Data, Privacy, and Security Challenges associated with Data, Ethics, Laws, IPR Copyright, and Technology Law. This book will help students, scholars, and practitioners to understand the challenges while dealing with data and its ethical and legal aspects. The book focuses on emerging issues while working with the Data.
",,0.1935483870967742,0.75,0.2264296187683284
70,79,79,Ethics Education and Institutional Ethics Committees,Handbook of Bioethical Decisions. Volume II,,,10.1007/978-3-031-29455-6_21,Ercan AvciHenk ten Have,2023.0,http://link.springer.com/chapter/10.1007/978-3-031-29455-6_21,Chapter,"Ethics consultation, which emerged at the end of the 1970s and beginning of the 1980s in the United States and gradually spread to some other countries, shoulder a crucial responsibility in clinical ethics by contributing to the quality of healthcare services through ethics consultation, case analysis, policy development, and ethics education. Institutional Ethics Committee is a type of that effort to identify, analyze, and resolve ethical issues but also used interchangeably with ethics consultation. Each function of institutional ethics committees refers to a substantial role in the therapeutic relationship. However, ethics education carries a higher potential to increase ethical knowledge, improve ethical skills, develop ethical behavior, and promote cultural competence by providing committee members, healthcare professionals, and patients and their families with continuous educational activities. Performing ethics consultation through bioethicists and other professionals having education in bioethics would help to achieve these goals and enhance the impact of bioethicists in clinical decisions.",,0.2039473684210526,0.6666666666666666,0.22456553766593
72,82,82,AI Principles,Building Responsible AI Algorithms,,,10.1007/978-1-4842-9306-5_2,Toju Duke,2023.0,http://link.springer.com/chapter/10.1007/978-1-4842-9306-5_2,Chapter,"The first chapter set the foundation for responsible AI frameworks, kicking off with responsibility and a few examples of AI and its ethical limitations. This chapter delves into “AI principles,” which are fundamental components of building responsible AI systems.",,0.2051282051282051,0.5,0.2189669536239933
75,85,85,Social Inclusion and Research,Handbook of Social Inclusion,,,10.1007/978-3-030-89594-5_29,Ana M. Sobočan,2022.0,http://link.springer.com/referenceworkentry/10.1007/978-3-030-89594-5_29,ReferenceWorkEntry,"Research is an endeavor marked by privilege and authority, prone to misconduct, and shaped by responsibilities and relationships. Ethical issues undeniably permeate all research, and it is important that questions of ethical practice in research and the ethical foundations of research be addressed along a broad spectrum of issues that includes research processes, methods, and purposes; forms of interpretation; and issues related to the values and ethical choices of those who conduct the research. Research ethics introduces complexity into research processes. While the standards and ethical principles of research may (often) seem very simple, ethical dilemmas and controversies abound in research practice. Research ethics is about conducting research responsibly and in a morally defensible manner while adhering to relevant ethical principles. Many researchers in the field of social inclusion would certainly agree that the ethical lens needs to go beyond a legalistic and codified understanding of research ethics to address the sociopolitical embeddedness of ethical principles and how research can serve as a means of providing knowledge, improving social justice, realizing human rights, and mobilizing social equality and inclusion. In this context, this chapter raises issues related to research ethics and integrity and suggests possible ethical considerations for research from its inception to possible social action, calling for researchers to develop ethical awareness. Ethical practice involves anticipating and responding to ethical dilemmas and taking ethical considerations into account (at every stage of the research process).",,0.2170212765957447,0.0,0.2132795304475422
76,86,86,Protecting privacy and promoting learning: blockchain and privacy preserving technology should inform new ethical guidelines for health data,Health and Technology,11,5,10.1007/s12553-021-00589-9,Marielle GrossRobert C. Miller,2021.0,http://link.springer.com/article/10.1007/s12553-021-00589-9,Article,Our current legal protections and ethical oversight have been insufficient for guarding against ethical violations involving our health data in the modern age. Concerns regarding the governance and privacy of health data are growing in tandem with calls for updated ethical guidelines for data-driven research. In this piece we discuss how blockchain technology and privacy preserving forms of computation may be foundational for new ethical guidelines given their potential to resolve the fundamental tensions between our concurrent obligations to protect individuals’ health data rights and to promote learning from health data for the good of society.,,0.1875,0.3333333333333333,0.2132136859781696
77,87,87,Trust and ethics in AI,AI & SOCIETY,38,2,10.1007/s00146-022-01473-4,Hyesun ChoungPrabu DavidArun Ross,2023.0,http://link.springer.com/article/10.1007/s00146-022-01473-4,Article,"With the growing influence of artificial intelligence (AI) in our lives, the ethical implications of AI have received attention from various communities. Building on previous work on trust in people and technology, we advance a multidimensional, multilevel conceptualization of trust in AI and examine the relationship between trust and ethics using the data from a survey of a national sample in the U.S. This paper offers two key dimensions of trust in AI—human-like trust and functionality trust—and presents a multilevel conceptualization of trust with dispositional, institutional, and experiential trust each significantly correlated with trust dimensions. Along with trust in AI, we examine perceptions of the importance of seven ethics requirements of AI offered by the European Commission’s High-Level Expert Group. Then the association between ethics requirements and trust is evaluated through regression analysis. Findings suggest that the ethical requirement of societal and environmental well-being is positively associated with human-like trust in AI. Accountability and technical robustness are two other ethical requirements, which are significantly associated with functionality trust in AI. Further, trust in AI was observed to be higher than trust in other institutions. Drawing from our findings, we offer a multidimensional framework of trust that is inspired by ethical values to ensure the acceptance of AI as a trustworthy technology.",,0.2037914691943128,0.8,0.2126480442636747
78,88,88,Ethical Considerations in Research,Scientific Research in Information Systems,,,10.1007/978-3-030-85436-2_7,Jan Recker,2021.0,http://link.springer.com/chapter/10.1007/978-3-030-85436-2_7,Chapter,"This chapter draws attention to ethical considerations as they pertain to research in information systems (IS). Ethics define the principles of right and wrong conduct in the community of IS scholars. This chapter discusses the role of ethics in IS research, the difficulty of acting ethically in research, and presents guidelines for ethical conduct in performing research and publishing research.",,0.1666666666666666,0.75,0.2125771604938271
79,89,89,Epistemic Just and Dynamic AI Ethics in Africa,Responsible AI in Africa,,,10.1007/978-3-031-08215-3_2,Emma Ruttkamp-Bloem,2023.0,http://link.springer.com/chapter/10.1007/978-3-031-08215-3_2,Chapter,"This chapter considers the potential for actualising the ideal for responsible AI on the African continent, focusing on the AI ethics policy environment in Africa. I consider the impact of context and culture on successful adoption of AI technologies in general and on trust in AI technology and openness to AI regulation in particular. It concludes that actionable AI ethics in Africa should be driven by dynamic and epistemic just ethical systems.",,0.1944444444444444,0.375,0.2112233445566778
81,91,91,The 2020 Yearbook of the Digital Ethics Lab,Digital Ethics Lab Yearbook,,,10.1007/978-3-030-80083-3,Josh CowlsJessica Morley,2021.0,http://link.springer.com/book/10.1007/978-3-030-80083-3,Book,"
This annual edited volume presents an overview of cutting-edge research areas within digital ethics as defined by the Digital Ethics Lab of the University of Oxford. It identifies new challenges and opportunities of influence in setting the research agenda in the field.
The 2020 edition of the yearbook presents research on the following topics: governing digital health, visualising governance, the digital afterlife, the possibility of an AI winter, the limits of design theory in philosophy, cyberwarfare, ethics of online behaviour change, governance of AI, trust in AI, and Emotional Self-Awareness as a Digital Literacy. This book appeals to students, researchers and professionals in the field.
",,0.1923076923076923,0.5,0.2100195654412522
82,92,92,You cannot have AI ethics without ethics,AI and Ethics,1,1,10.1007/s43681-020-00013-4,Dave Lauer,2021.0,http://link.springer.com/article/10.1007/s43681-020-00013-4,Article,"In this paper, I will examine the reasons that ethical deployment of AI has been so elusive for so many high-profile organizations, and I’ll explain why there have been such egregious examples of unethical AI built and deployed into the world. I will draw on examples and lessons from other fields, such as medical ethics and systems theory, to demonstrate that AI ethics simply cannot exist without a broader culture of ethics. I will make the case that only organizations with a firm grounding in ethics, and an appreciation for the way complex systems behave can succeed at ethical deployment of AI.",,0.1764705882352941,0.7142857142857143,0.2099793188303358
83,94,94,Basic Issues in AI Policy,"Interactive Robotics: Legal, Ethical, Social and Economic Aspects",,,10.1007/978-3-031-04305-5_1,Vincent C. Müller,2022.0,http://link.springer.com/chapter/10.1007/978-3-031-04305-5_1,Chapter,"This short paper summarises some of the basic points of AI ethics and policy as they present themselves now. We explain the notion of AI, the main ethical issues in AI and the main policy aims and means.",,0.2105263157894736,0.2,0.2093721144967682
84,95,95,How Behavior Analysts Make Ethical Decisions: A Qualitative Study,Behavior Analysis in Practice,,,10.1007/s40617-023-00804-1,Elizabeth M. KellyKaitlin GreenyNancy E. RosenbergIlene S. Schwartz,2023.0,http://link.springer.com/article/10.1007/s40617-023-00804-1,Article,"Behavior analysts (BAs) frequently face professional ethical dilemmas. When faced with these dilemmas, BAs must problem solve and decide how to ethically respond. Though BAs have many tools available to guide their ethical decision making (e.g., Ethics Code for Behavior Analysts; Behavior Analyst Certification Board [BACB], 2020), little is known about how BAs make ethical decisions in practice. We conducted a qualitative investigation of BAs’ ethical decision making to better understand how they identify ethical dilemmas in practice, how they make ethical decisions, and what resources they use during the decision-making process. Implications for behavior analytic practitioners and researchers are discussed.",,0.198019801980198,0.3333333333333333,0.2092670903919036
85,96,96,Ethical Issues of AI,Artificial Intelligence for a Better Future,,,10.1007/978-3-030-69978-9_4,Bernd Carsten Stahl,2021.0,http://link.springer.com/chapter/10.1007/978-3-030-69978-9_4,Chapter,"This chapter discusses the ethical issues
 that are raised by the development, deployment and use of AI. It starts with a review of the (ethical) benefits of AI and then presents the findings of the SHERPA
 project, which used case studies and a Delphi study to identify what people perceived to be ethical issues
. These are discussed using the categorisation of AI technologies introduced earlier. Detailed accounts are given of ethical issues
 arising from machine learning
, from artificial general intelligence
 and from broader socio-technical systems
 that incorporate AI.",,0.1818181818181818,1.0,0.2091364395204128
86,97,97,Ethical Procedures and Processes in IS Research,Information Systems Research,,,10.1007/978-3-031-25470-3_13,Mohammed Ali,2023.0,http://link.springer.com/chapter/10.1007/978-3-031-25470-3_13,Chapter,"This chapter covers the ethical process of conducting IS research, from filling out the ethical approval form to developing ethical participant statements. This also includes the techniques used to keep in line with ethical policies when conducting field research, such as questionnaires, observations, focus groups and interviews. Therefore, this chapter emphasises the ethical guidance procedures in contemporary IS research. In addition to the chapter contents, definitions, facts, tables, figures, activities, and case studies are provided to reinforce researcher and practitioner learning of the ethical procedures and processes associated with contemporary IS research projects.",,0.1935483870967742,0.4285714285714285,0.2086593076840638
87,98,98,“The health equity curse”: ethical tensions in promoting health equity,BMC Public Health,21,1,10.1186/s12889-021-11594-y,Bernie PaulyTina RevaiLenora MarcellusWanda MartinKathy EastonMarjorie MacDonald,2021.0,http://link.springer.com/article/10.1186/s12889-021-11594-y,Article,Naming these tensions provides insights into the daily ethical challenges of PH practitioners and an opportunity to reflect on the relevance of PH frameworks. These findings highlight the value of relational ethics as a promising approach for developing ethical frameworks for PH practice.,,0.1860465116279069,0.3,0.2082658547645267
