Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords
Drosophila Oogenesis,Methods in Molecular Biology,,,10.1007/978-1-0716-2970-3,Michelle S. GiedtTina L. Tootle,2023,http://link.springer.com/book/10.1007/978-1-0716-2970-3,Book,,
Consumer Research Methods in Food Science,Methods and Protocols in Food Science,,,10.1007/978-1-0716-3000-6,Carlos Gómez-CoronaHeber Rodrigues,2023,http://link.springer.com/book/10.1007/978-1-0716-3000-6,Book,,
Consumer Research in Social Media: Guidelines and Recommendations,Consumer Research Methods in Food Science,,,10.1007/978-1-0716-3000-6_14,Carlos Gómez-CoronaHoa Nguyen,2023,http://link.springer.com/chapter/10.1007/978-1-0716-3000-6_14,Chapter,,
Virtual Reality Games for Rehabilitation,Virtual Reality Technologies for Health and Clinical Applications,,,10.1007/978-1-0716-3371-7,Eva BrooksDavid J. Brown,2023,http://link.springer.com/book/10.1007/978-1-0716-3371-7,Book,,
Methodology for the Co-design of Shared VR Environments with Adults with Developmental and Intellectual Disabilities Using the Meta Quest,Virtual Reality Games for Rehabilitation,,,10.1007/978-1-0716-3371-7_4,Matthew C. HarrisPratik VyasJames LewisDavid J. BrownDavid StewartPenny Standen,2023,http://link.springer.com/chapter/10.1007/978-1-0716-3371-7_4,Chapter,,
Responsible AI,Implementing AI Systems,,,10.1007/978-1-4842-6385-3_8,Tom Taulli,2021,http://link.springer.com/chapter/10.1007/978-1-4842-6385-3_8,Chapter,,
Bias in machine learning,Practical Machine Learning in JavaScript,,,10.1007/978-1-4842-6418-8_7,Charlie Gerard,2021,http://link.springer.com/chapter/10.1007/978-1-4842-6418-8_7,Chapter,,
Case Studies,Machine Learning and AI for Healthcare,,,10.1007/978-1-4842-6537-6_10,Arjun Panesar,2021,http://link.springer.com/chapter/10.1007/978-1-4842-6537-6_10,Chapter,,
Data,Machine Learning and AI for Healthcare,,,10.1007/978-1-4842-6537-6_2,Arjun Panesar,2021,http://link.springer.com/chapter/10.1007/978-1-4842-6537-6_2,Chapter,,
Machine Learning and AI Ethics,Machine Learning and AI for Healthcare,,,10.1007/978-1-4842-6537-6_8,Arjun Panesar,2021,http://link.springer.com/chapter/10.1007/978-1-4842-6537-6_8,Chapter,,
Practical Explainable AI Using Python,,,,10.1007/978-1-4842-7158-2,Pradeepta Mishra,2022,http://link.springer.com/book/10.1007/978-1-4842-7158-2,Book,,
"AI Ethics, Biasness, and Reliability",Practical Explainable AI Using Python,,,10.1007/978-1-4842-7158-2_2,Pradeepta Mishra,2022,http://link.springer.com/chapter/10.1007/978-1-4842-7158-2_2,Chapter,,
Beginning Azure Cognitive Services,,,,10.1007/978-1-4842-7176-6,Alicia MonizMatt GordonIda BergumMia ChangGinger Grant,2021,http://link.springer.com/book/10.1007/978-1-4842-7176-6,Book,,
Vision,Beginning Azure Cognitive Services,,,10.1007/978-1-4842-7176-6_3,Alicia MonizMatt GordonIda BergumMia ChangGinger Grant,2021,http://link.springer.com/chapter/10.1007/978-1-4842-7176-6_3,Chapter,,
Ethics in AI,Beginning Azure Cognitive Services,,,10.1007/978-1-4842-7176-6_8,Alicia MonizMatt GordonIda BergumMia ChangGinger Grant,2021,http://link.springer.com/chapter/10.1007/978-1-4842-7176-6_8,Chapter,,
Towards Sustainable Artificial Intelligence,,,,10.1007/978-1-4842-7214-5,Ghislain Landry Tsafack Chetsa,2021,http://link.springer.com/book/10.1007/978-1-4842-7214-5,Book,,
Managing AI in the Enterprise,,,,10.1007/978-1-4842-7824-6,Klaus Haller,2022,http://link.springer.com/book/10.1007/978-1-4842-7824-6,Book,,
"Ethics, Regulations, and Explainability",Managing AI in the Enterprise,,,10.1007/978-1-4842-7824-6_4,Klaus Haller,2022,http://link.springer.com/chapter/10.1007/978-1-4842-7824-6_4,Chapter,,
Designing Human-Centric AI Experiences,Design Thinking,,,10.1007/978-1-4842-8088-1,Akshay Kore,2022,http://link.springer.com/book/10.1007/978-1-4842-8088-1,Book,,
On Intelligence,Designing Human-Centric AI Experiences,,,10.1007/978-1-4842-8088-1_1,Akshay Kore,2022,http://link.springer.com/chapter/10.1007/978-1-4842-8088-1_1,Chapter,,
AI Ethics,Designing Human-Centric AI Experiences,,,10.1007/978-1-4842-8088-1_7,Akshay Kore,2022,http://link.springer.com/chapter/10.1007/978-1-4842-8088-1_7,Chapter,,
Demystifying Intelligent Multimode Security Systems,,,,10.1007/978-1-4842-8297-7,Jody BoothWerner MetzAnahit TarkhanyanSunil Cheruvu,2023,http://link.springer.com/book/10.1007/978-1-4842-8297-7,Book,,
Machine Learning Security and Trustworthiness,Demystifying Intelligent Multimode Security Systems,,,10.1007/978-1-4842-8297-7_5,Jody BoothDr. Werner Metz PhDDr. Anahit Tarkhanyan PhDSunil Cheruvu,2023,http://link.springer.com/chapter/10.1007/978-1-4842-8297-7_5,Chapter,,
Technical Building Blocks,,,,10.1007/978-1-4842-8658-6,Gaurav SagarVitalii Syrovatskyi,2022,http://link.springer.com/book/10.1007/978-1-4842-8658-6,Book,,
Artificial Intelligence: Making Machines Learn,Technical Building Blocks,,,10.1007/978-1-4842-8658-6_5,Gaurav SagarVitalii Syrovatskyi,2022,http://link.springer.com/chapter/10.1007/978-1-4842-8658-6_5,Chapter,,
Mentoring Digital Media Projects,,,,10.1007/978-1-4842-8798-9,Patrick Parra Pennefather,2022,http://link.springer.com/book/10.1007/978-1-4842-8798-9,Book,,
Know Your Mentoring Strategies,Mentoring Digital Media Projects,,,10.1007/978-1-4842-8798-9_6,Patrick Parra Pennefather,2022,http://link.springer.com/chapter/10.1007/978-1-4842-8798-9_6,Chapter,,
Productionizing AI,,,,10.1007/978-1-4842-8817-7,Barry Walsh,2023,http://link.springer.com/book/10.1007/978-1-4842-8817-7,Book,,
Introduction to AI and the AI Ecosystem,Productionizing AI,,,10.1007/978-1-4842-8817-7_1,Barry Walsh,2023,http://link.springer.com/chapter/10.1007/978-1-4842-8817-7_1,Chapter,,
Precision Health and Artificial Intelligence,,,,10.1007/978-1-4842-9162-7,Arjun Panesar,2023,http://link.springer.com/book/10.1007/978-1-4842-9162-7,Book,,
Artificial Intelligence and Machine Learning in Precision Health,Precision Health and Artificial Intelligence,,,10.1007/978-1-4842-9162-7_4,Arjun Panesar,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9162-7_4,Chapter,,
Risks and Ethical Challenges of Precision Health,Precision Health and Artificial Intelligence,,,10.1007/978-1-4842-9162-7_5,Arjun Panesar,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9162-7_5,Chapter,,
Precision Healthcare in Practice,Precision Health and Artificial Intelligence,,,10.1007/978-1-4842-9162-7_7,Arjun Panesar,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9162-7_7,Chapter,,
Data Fabric and Data Mesh Approaches with AI,,,,10.1007/978-1-4842-9253-2,Eberhard HechlerMaryela WeihrauchYan (Catherine) Wu,2023,http://link.springer.com/book/10.1007/978-1-4842-9253-2,Book,,
Data Fabric and Data Mesh Research Areas,Data Fabric and Data Mesh Approaches with AI,,,10.1007/978-1-4842-9253-2_17,Eberhard HechlerMaryela WeihrauchYan (Catherine) Wu,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9253-2_17,Chapter,,
Data Fabric and Data Mesh Use Case Scenarios,Data Fabric and Data Mesh Approaches with AI,,,10.1007/978-1-4842-9253-2_3,Eberhard HechlerMaryela WeihrauchYan (Catherine) Wu,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9253-2_3,Chapter,,
Data Fabric and Data Mesh for the AI Lifecycle,Data Fabric and Data Mesh Approaches with AI,,,10.1007/978-1-4842-9253-2_9,Eberhard HechlerMaryela WeihrauchYan (Catherine) Wu,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9253-2_9,Chapter,,
Building Responsible AI Algorithms,,,,10.1007/978-1-4842-9306-5,Toju Duke,2023,http://link.springer.com/book/10.1007/978-1-4842-9306-5,Book,,
AI Ethics,Building Responsible AI Algorithms,,,10.1007/978-1-4842-9306-5_10,Toju Duke,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9306-5_10,Chapter,,
AI Principles,Building Responsible AI Algorithms,,,10.1007/978-1-4842-9306-5_2,Toju Duke,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9306-5_2,Chapter,,
Data,Building Responsible AI Algorithms,,,10.1007/978-1-4842-9306-5_3,Toju Duke,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9306-5_3,Chapter,,
Fairness,Building Responsible AI Algorithms,,,10.1007/978-1-4842-9306-5_4,Toju Duke,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9306-5_4,Chapter,,
AI Startup Strategy,,,,10.1007/978-1-4842-9502-1,Adhiguna Mahendra,2023,http://link.springer.com/book/10.1007/978-1-4842-9502-1,Book,,
Building an AI Platform,AI Startup Strategy,,,10.1007/978-1-4842-9502-1_8,Adhiguna Mahendra,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9502-1_8,Chapter,,
Creative Prototyping with Generative AI,Design Thinking,,,10.1007/978-1-4842-9579-3,Patrick Parra Pennefather,2023,http://link.springer.com/book/10.1007/978-1-4842-9579-3,Book,,
AI and the Future of Creative Work,Creative Prototyping with Generative AI,,,10.1007/978-1-4842-9579-3_13,Patrick Parra Pennefather,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9579-3_13,Chapter,,
MLOps Lifecycle Toolkit,,,,10.1007/978-1-4842-9642-4,Dayne Sorvisto,2023,http://link.springer.com/book/10.1007/978-1-4842-9642-4,Book,,
Data Ethics,MLOps Lifecycle Toolkit,,,10.1007/978-1-4842-9642-4_8,Dayne Sorvisto,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9642-4_8,Chapter,,
Grow Your Business with AI,,,,10.1007/978-1-4842-9669-1,Francisco Javier Campos Zabala,2023,http://link.springer.com/book/10.1007/978-1-4842-9669-1,Book,,
Setting the Stage: AI Potential and Challenges,Grow Your Business with AI,,,10.1007/978-1-4842-9669-1_1,Francisco Javier Campos Zabala,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9669-1_1,Chapter,,
Creating an AI Roadmap Fully Aligned to Enterprise Strategies,Grow Your Business with AI,,,10.1007/978-1-4842-9669-1_11,Francisco Javier Campos Zabala,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9669-1_11,Chapter,,
Selecting AI Tools and Platforms,Grow Your Business with AI,,,10.1007/978-1-4842-9669-1_16,Francisco Javier Campos Zabala,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9669-1_16,Chapter,,
Responsible AI Understanding the Ethical and Regulatory Implications of AI,Grow Your Business with AI,,,10.1007/978-1-4842-9669-1_20,Francisco Javier Campos Zabala,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9669-1_20,Chapter,,
Scaling AI,Grow Your Business with AI,,,10.1007/978-1-4842-9669-1_21,Francisco Javier Campos Zabala,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9669-1_21,Chapter,,
The Barriers for Implementing AI,Grow Your Business with AI,,,10.1007/978-1-4842-9669-1_4,Francisco Javier Campos Zabala,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9669-1_4,Chapter,,
Key Trends in AI,Grow Your Business with AI,,,10.1007/978-1-4842-9669-1_6,Francisco Javier Campos Zabala,2023,http://link.springer.com/chapter/10.1007/978-1-4842-9669-1_6,Chapter,,
Breast Cancer,Geriatric Medicine,,,10.1007/978-3-030-01782-8_77-1,Gretell HenríquezNicolò Mateo Luca BattistiYanin Chavarri-GuerraEnrique Soto-Perez-de-Celis,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-01782-8_77-1,ReferenceWorkEntry,,
Quantification of Business Ethics,Encyclopedia of Sustainable Management,,,10.1007/978-3-030-02006-4_1113-1,Alexander KriebitzRaphael Max,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-02006-4_1113-1,ReferenceWorkEntry,,
Business Ethics,Encyclopedia of Sustainable Management,,,10.1007/978-3-030-02006-4_400-1,Benedict SheehyMichael Segon,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-02006-4_400-1,ReferenceWorkEntry,,
Climate Change,Encyclopedia of Sustainable Management,,,10.1007/978-3-030-02006-4_75-1,Arto O. SalonenDirk Reiser,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-02006-4_75-1,ReferenceWorkEntry,,
Human System Risk in Lunar Exploration,Handbook of Lunar Base Design and Development,,,10.1007/978-3-030-05323-9_1-1,Erik Antonsen,2022,http://link.springer.com/referenceworkentry/10.1007/978-3-030-05323-9_1-1,ReferenceWorkEntry,,
Datasets: Configuring Their Applications in Public Affairs,"The Palgrave Encyclopedia of Interest Groups, Lobbying and Public Affairs",,,10.1007/978-3-030-13895-0_226-1,Craig S. Fleisher,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-13895-0_226-1,ReferenceWorkEntry,,
“Eyes and Ears”: Surveillance in the Indian Smart City,Handbook of Smart Cities,,,10.1007/978-3-030-15145-4_60-1,Uttara PurandareKhaliq Parkar,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-15145-4_60-1,ReferenceWorkEntry,,
Introduction,Handbook of Philosophy of Climate Change,,,10.1007/978-3-030-16960-2_1-1,Gianfranco Pellegrino,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-16960-2_1-1,ReferenceWorkEntry,,
Normative Challenges in Climate Change Economics,Handbook of Philosophy of Climate Change,,,10.1007/978-3-030-16960-2_17-1,Kiran Chawla,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-16960-2_17-1,ReferenceWorkEntry,,
"Climate Change, Relational Philosophy, and Ecological Care",Handbook of Philosophy of Climate Change,,,10.1007/978-3-030-16960-2_35-1,Bruce Jennings,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-16960-2_35-1,ReferenceWorkEntry,,
Plant Ethics and Climate Change,Handbook of Philosophy of Climate Change,,,10.1007/978-3-030-16960-2_73-1,Luca Stroppa,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-16960-2_73-1,ReferenceWorkEntry,,
Encyclopedia of Gerontology and Population Aging,,,,10.1007/978-3-030-22009-9,Danan GuMatthew E. Dupre,2021,http://link.springer.com/referencework/10.1007/978-3-030-22009-9,ReferenceWork,,
Clinical Translation Acceleration,Encyclopedia of Gerontology and Population Aging,,,10.1007/978-3-030-22009-9_389,Richard BarkerIlia Stambler,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22009-9_389,ReferenceWorkEntry,,
Older Prisoners,Encyclopedia of Gerontology and Population Aging,,,10.1007/978-3-030-22009-9_401,Gwenola Ricordeau,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22009-9_401,ReferenceWorkEntry,,
Encyclopedia of Business and Professional Ethics,,,,10.1007/978-3-030-22767-8,Deborah C. PoffAlex C. Michalos,2023,http://link.springer.com/referencework/10.1007/978-3-030-22767-8,ReferenceWork,,
Ethical Issues in Providing Behavioral Health Treatment to Vulnerable Populations,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_1208,Geraldine S. Pearson,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_1208,ReferenceWorkEntry,,
Living Wage and Business Ethics,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_1228,Andrea Werner,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_1228,ReferenceWorkEntry,,
Artificial Intelligence and Ethical Journalism,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_1229,Konstantin Dörr,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_1229,ReferenceWorkEntry,,
Artificial Intelligence and Teaching Values in Science,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_1232,Mairéad HurleyGrace D’Arcy,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_1232,ReferenceWorkEntry,,
MacIntyre and Business Ethics,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_1259,Matthew Sinnicks,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_1259,ReferenceWorkEntry,,
Ethics and Artificial Intelligence,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_1261,Mark Ryan,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_1261,ReferenceWorkEntry,,
Big Data Ethics,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_1262,Mark RyanAna Fernandez Inguanzo,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_1262,ReferenceWorkEntry,,
"Blockchain and Cryptocurrencies, the Relevance for Business Ethics",Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_1265,Peter SeeleClaus Dierksmeier,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_1265,ReferenceWorkEntry,,
"Technology Ethics: Origins, Paradigms and Implications for Business and Society",Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_1268,Peter Seele,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_1268,ReferenceWorkEntry,,
AI and Corporate Responsibility,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_1297,Kirsten MartinCarolina Villegas-Galaviz,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_1297,ReferenceWorkEntry,,
Medical Ethics and the Land Ethic,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_1317,Alistair Wardrope,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_1317,ReferenceWorkEntry,,
Artificial Intelligence and Business Ethics,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_1325,John-Stewart Gordon,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_1325,ReferenceWorkEntry,,
European Business Ethics Network,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_274,Alex C. Michalos,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_274,ReferenceWorkEntry,,
Business Ethics in Canada,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_292,Mark S. Schwartz,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_292,ReferenceWorkEntry,,
Business Ethics: A European Review,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_295,Alex C. Michalos,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_295,ReferenceWorkEntry,,
Environmental Change in the Arctic,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_347,Jacob Dahl Rendtorff,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_347,ReferenceWorkEntry,,
Ethical Responsibility of Orchestras in Contemporary (Multicultural) Societies,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_351,Parmela Attariwala,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_351,ReferenceWorkEntry,,
Has the Mainstreaming of Responsible Investment Eroded Ethics? Insights from Investor Advocacy on Human Rights in Conflict Zones,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_39,Priya Bala-Miller,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_39,ReferenceWorkEntry,,
Professional Ethics in Social and Cultural Anthropology,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_396,Vesna V. Godina,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_396,ReferenceWorkEntry,,
Professional Ethics in Healthcare,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_397,Bojan BorstnerHelena Blažun VošnerSmiljana Gartner,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_397,ReferenceWorkEntry,,
Publication Ethics,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_48,Virginia Barbour,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_48,ReferenceWorkEntry,,
Greenwashing and Machinewashing: An Ethical Account and Criteria for Identification,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_749,Peter Seele,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_749,ReferenceWorkEntry,,
Handbook of Cell Biosensors,,,,10.1007/978-3-030-23217-7,Prof. Gérald Thouand,2022,http://link.springer.com/referencework/10.1007/978-3-030-23217-7,ReferenceWork,,
"Biosensors: Ethical, Regulatory, and Legal Issues",Handbook of Cell Biosensors,,,10.1007/978-3-030-23217-7_23,Mohammad Ershadul Karim,2022,http://link.springer.com/referenceworkentry/10.1007/978-3-030-23217-7_23,ReferenceWorkEntry,,
Ethical Culture and Management,Handbook on Management and Employment Practices,,,10.1007/978-3-030-24936-6_19-1,Mari Huhtala,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-24936-6_19-1,ReferenceWorkEntry,,
Individual Differences and Personality,International Handbook of Psychology Learning and Teaching,,,10.1007/978-3-030-26248-8_24-2,Manfred Schmitt,2022,http://link.springer.com/referenceworkentry/10.1007/978-3-030-26248-8_24-2,ReferenceWorkEntry,,
Bioethics in Nursing Education in Japan,Palgrave Encyclopedia of the Health Humanities,,,10.1007/978-3-030-26825-1_4-1,Mari Tsuruwaka,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-26825-1_4-1,ReferenceWorkEntry,,
International Handbook of Psychology Learning and Teaching,Springer International Handbooks of Education,,,10.1007/978-3-030-28745-0,Joerg ZumbachDouglas A. BernsteinSusanne NarcissGiuseppina Marsico,2023,http://link.springer.com/referencework/10.1007/978-3-030-28745-0,ReferenceWork,,
Qualitative Methodology,International Handbook of Psychology Learning and Teaching,,,10.1007/978-3-030-28745-0_22,Günter Mey,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-28745-0_22,ReferenceWorkEntry,,
Individual Differences and Personality,International Handbook of Psychology Learning and Teaching,,,10.1007/978-3-030-28745-0_24,Manfred Schmitt,2023,http://link.springer.com/referenceworkentry/10.1007/978-3-030-28745-0_24,ReferenceWorkEntry,,
Handbook on Management and Employment Practices,Handbook Series in Occupational Health Sciences,,,10.1007/978-3-030-29010-8,Prof. Paula BroughElliroma GardinerKevin Daniels,2022,http://link.springer.com/referencework/10.1007/978-3-030-29010-8,ReferenceWork,,
Ethical Culture and Management,Handbook on Management and Employment Practices,,,10.1007/978-3-030-29010-8_19,Mari Huhtala,2022,http://link.springer.com/referenceworkentry/10.1007/978-3-030-29010-8_19,ReferenceWorkEntry,,
Financial Institutions and Codes of Ethics,Handbook on Ethics in Finance,,,10.1007/978-3-030-29371-0_1,Christopher J. Cowton,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-29371-0_1,ReferenceWorkEntry,,
Ethics for Automated Financial Markets,Handbook on Ethics in Finance,,,10.1007/978-3-030-29371-0_18,Ricky CooperMichael DavisAndrew KumiegaBen Van Vliet,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-29371-0_18,ReferenceWorkEntry,,
Ethical Considerations About the Implications of Artificial Intelligence in Finance,Handbook on Ethics in Finance,,,10.1007/978-3-030-29371-0_21,Raphael MaxAlexander KriebitzChristian Von Websky,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-29371-0_21,ReferenceWorkEntry,,
A Virtue Ethics Approach in Finance,Handbook on Ethics in Finance,,,10.1007/978-3-030-29371-0_25,Ignacio FerreroAndrea RoncellaMarta Rocchi,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-29371-0_25,ReferenceWorkEntry,,
Regulation of Financial Conduct in Russia,Handbook on Ethics in Finance,,,10.1007/978-3-030-29371-0_26,Irina GrekovaMaxim Storchevoy,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-29371-0_26,ReferenceWorkEntry,,
Investment Inspired by the Principles of Catholic Social Teaching (CST) as a Contribution to the Social Development Goals (SDG): A Case Study,Handbook on Ethics in Finance,,,10.1007/978-3-030-29371-0_33,José-Luis Fernández-FernándezDiego Blázquez Bernaldo de Quirós,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-29371-0_33,ReferenceWorkEntry,,
Ethics and Digital Innovation in Finance,Handbook on Ethics in Finance,,,10.1007/978-3-030-29371-0_9,Antonio Argandoña,2021,http://link.springer.com/referenceworkentry/10.1007/978-3-030-29371-0_9,ReferenceWorkEntry,,
