,Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,ISBN,ISSN,Date,Date Added,Date Modified,Pages,Series,Publisher,Key,Eligibility_Abstract_Score,Eligibility_Keywords_Score,Eligibility_Title_Score,Eligibility_Score,Author Affiliations,Date Added To Xplore,Start Page,End Page,ISBNs,Funding Information,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Extra
10,Big Data in Business and Ethical Challenges,2021 International Conference on Information Management and Technology (ICIMTech),1,,10.1109/ICIMTech53080.2021.9534963,N. Zulkarnain; M. Anshari; M. Hamdan; M. Fithriyah,2021.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9534963,IEEE Conferences,"Organizations have been adopting Big Data for various purposes and its presence becomes more significant than ever in any public or private sector. However, this adoption comes with its own challenges. Organizations may face or deal with ethical challenges on how they get and utilized data. Because data appears to be easily accessible, ethical compliance in the use of social media data cannot be overlooked. The goal of this research is to see how the phenomena of big data might make ethical decisions more difficult for organizations. This research was built on recent literature reviews, and the discussion intended to examine the extent Big Data application intercepts business ethics, especially on collecting customer data. Hence, Organizations must have transparent policies on big data applications and good practices to promote an ethical culture.",Ethics;Big Data;Consequentialist Theory,,,2023-04,2023-11-06 01:29:59,2023-11-06 01:29:59,1–15,,IEEE,3Z9FZKRF,0.1666666666666666,0.0,0.5714285714285714,0.1782551490309195,"Information Systems Department, School of Information Systems, Bina Nusantara University, Jakarta, Indonesia; School of Business & Economics, Universiti Brunei Darussalam, Bandar Seri Begawan, Brunei Darussalam; School of Business & Economics, Universiti Brunei Darussalam, Bandar Seri Begawan, Brunei Darussalam; Faculty of Economics, Indonesia Open University, Jakarta, Indonesia",14 Sep 2021,298.0,303.0,978-1-6654-4937-3,,Ethics;Leadership;Social networking (online);Profitability;Organizations;Big Data applications;Information management,Big Data;ethical aspects;social networking (online),private sector;organizations;ethical challenges;ethical compliance;social media data;ethical decisions;extent Big Data application;business ethics;customer data;big data applications;ethical culture;public sector,,8.0,59.0,IEEE,14 Sep 2021,
11,The State of Ethical AI in Practice: A Multiple Case Study of Estonian Public Service Organizations,Int. J. Technoethics,14.0,1,10.4018/IJT.322017,"Hinton, Charlene",2023.0,https://doi.org/10.4018/IJT.322017,journalArticle,"Despite the prolific introduction of ethical frameworks, empirical research on AI ethics in the public sector is limited. This empirical research investigates how the ethics of AI is translated into practice and the challenges of its implementation by public service organizations. Using the Value Sensitive Design as a framework of inquiry, semi-structured interviews are conducted with eight public service organizations across the Estonian government that have piloted or developed an AI solution for delivering a public service. Results show that the practical application of AI ethical principles is indirectly considered and demonstrated in different ways in the design and development of the AI. However, translation of these principles varies according to the maturity of the AI and the public servant's level of awareness, knowledge, and competences in AI. Data-related challenges persist as public service organizations work on fine-tuning their AI applications.",Ethics; Artificial Intelligence; AI Ethical Principles; Estonia; Ethical AI Design and Development; Practical Application of AI Ethics; Public Sector; Value Sensitive Design,,1947-3451,2023-04,2023-11-06 01:29:59,2023-11-06 01:29:59,1–15,,,3Z9FZKRF,0.1276595744680851,0.5909090909090909,0.25,0.2018186327252825,,,,,,,,,,,,,,,
12,European Business Ethics Network,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_274,Alex C. Michalos,2023.0,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_274,ReferenceWorkEntry,Business ethics organization for Europe; European organization for issues on social responsibility of business; European social responsibility of business organization; Professional business ethics organization,,978-1-4503-8473-5,2688-5255,2021.0,2023-11-06 14:05:09,2023-11-06 14:05:09,320–333,AIES '21,TUP,VEQ6XXYR,0.25,0.0,0.5,0.2830578512396694,"Society of Fellows and the Gerald R. Ford School of Public Policy, University of Michigan, Ann Arbor, MI, USA",18 Jan 2022,209.0,225.0,,,Ethics;Social computing;Special issues and sections;Law;Government;Resists;Regulation,ethical aspects;organisational aspects,technology ethics;digital technology;corporate logics;ethics-washing;government regulation,,22.0,165.0,,18 Jan 2022,
13,Data Ethics in Catholic Health Systems,The National Catholic Bioethics Quarterly,22.0,2.0,10.5840/ncbq202222225,"Barina, Rachelle; Gremmels, Becket; Miller, Michael; Kockler, Nicholas; Repenshek, Mark; Ostertag, Christopher",2022.0,http://www.pdcnet.org/oom/service?url_ver=Z39.88-2004&rft_val_fmt=&rft.imuse_id=ncbq_2022_0022_0002_0289_0317&svc_id=info:www.pdcnet.org/collection,journalArticle,"The Catholic moral tradition has a rich foundation that applies broadly to encompass all areas of human experience. Yet, there is comparatively little in Catholic thought on the ethics of the collection and use of data, especially in healthcare. We provide here a brief overview of terminology, concepts, and applications of data in the context of healthcare, summarize relevant theological principles and themes (including the Vatican’s Rome Call for AI Ethics), and offer key questions for ethicists and data managers to consider as they analyze ethical implications pertinent to data governance and data management.",,978-1-4503-9613-4,2691-4581,2022.0,2023-11-06 14:09:47,2023-11-06 14:09:47,289–317,EASE '22,IEEE,PQ8GGVX6,0.1382978723404255,0.0,0.5,0.1592501297353399,"Research Institute of Trustworthy Autonomous Systems, Southern University of Science and Technology, Shenzhen, China; Trustworthiness Theory Research Center, Huawei Technologies Company, Ltd., Shenzhen, China; Trustworthiness Theory Research Center, Huawei Technologies Company, Ltd., Shenzhen, China; Research Institute of Trustworthy Autonomous Systems, Southern University of Science and Technology, Shenzhen, China",21 Jul 2023,799.0,819.0,,Research Institute of Trustworthy Autonomous Systems; Guangdong Provincial Key Laboratory(grant numbers:2020B121201001); Program for Guangdong Introducing Innovative and Enterpreneurial Teams(grant numbers:2017ZT07X386); Shenzhen Science and Technology Program(grant numbers:KQTD2016112514355531); Huawei and Southern University of Science and Technology(grant numbers:FA2019061021); ,Artificial intelligence;Ethics;Guidelines;Privacy;Government;Systematics;Security,artificial intelligence;data privacy;ethical aspects;industrial robots;Internet,AI ethics;AI systems;artificial intelligence ethics;ethical concerns;ethical guidelines;ethical issues;ethical risks,,9.0,155.0,CCBY,28 Jul 2022,
14,"Artificial Intelligence, Social Media and Depression. A New Concept of Health-Related Digital Autonomy",American Journal of Bioethics,21.0,7.0,10.1080/15265161.2020.1863515,"Laacke, Sebastian; Mueller, Regina; Schomerus, Georg; Salloch, Sabine",2021.0,https://www.tandfonline.com/doi/full/10.1080/15265161.2020.1863515,journalArticle,"The development of artificial intelligence (AI) in medicine raises fundamental ethical issues. As one example, AI systems in the field of mental health successfully detect signs of mental disorders, such as depression, by using data from social media. These AI depression detectors (AIDDs) identify users who are at risk of depression prior to any contact with the healthcare system. The article focuses on the ethical implications of AIDDs regarding affected users’ health-related autonomy. Firstly, it presents the (ethical) discussion of AI in medicine and, specifically, in mental health. Secondly, two models of AIDDs using social media data and different usage scenarios are introduced. Thirdly, the concept of patient autonomy, according to Beauchamp and Childress, is critically discussed. Since this concept does not encompass the specific challenges linked with the digital context of AIDDs in social media sufficiently, the current analysis suggests, finally, an extended concept of health-related digital autonomy.",,978-1-4503-8473-5,,2021.0,2023-11-06 14:05:09,2023-11-06 14:05:09,4–20,AIES '21,Association for Computing Machinery,QUBBMERR,0.1476510067114094,0.3684210526315789,0.2307692307692307,0.1551670163336592,,,,,,,,,,,,,,,Publisher: Taylor & Francis
15,Trusting the Government to Do the Right Thing: Data Ethics in Australia?s Pandemic Response,Cambridge Quarterly of Healthcare Ethics,32.0,2.0,10.1017/s0963180122000573,"Dalton-Brown, Sally",2023.0,https://www.cambridge.org/core/product/identifier/S0963180122000573/type/journal_article,journalArticle,"After a brief overview of ethical issues in an Australian context catalyzed by the current pandemic, this article focuses on data protection in the light of recent debates about COVID-19 data tracking in Australia and globally. This article looks at the issue of trust as a fundamental principle of effective and ethical COVID-safe measures undertaken by the government. Key to ensuring such trust are Habermasian participatory dialogs, which assume trust as a condition of authentic illocution, and an emphasis on short-term data capture.",,978-1-4503-8492-6,,2023.0,2023-11-06 14:10:25,2023-11-06 14:10:25,222–230,DG.O'21,IEEE,4NVA9Y9V,0.144578313253012,0.0,0.2142857142857142,0.1546471600688468,"Department of Computer Information Systems, Robert Morris University, Pittsburgh, USA; Bloomberg School of Public Health, Johns Hopkins University, Baltimore, USA",2 Aug 2023,296.0,297.0,979-8-3503-3984-0,National Science Foundation; ,Privacy;Ethics;Data privacy;Medical services;Artificial intelligence;Guidelines,artificial intelligence;data privacy;ethical aspects;health care,AI-enabled healthcare app;artificial intelligence;ethical challenges;ethical issues;fictional case studies;healthcare systems;privacy protection challenges;privacy risks;research study explores;user data privacy,,,14.0,IEEE,2 Aug 2023,
16,Integrating Social Determinants of Health Into Ethical Digital Simulations,American Journal of Bioethics,23.0,9.0,10.1080/15265161.2023.2237443,"Kostick-Quenet, Kristin; Rahimzadeh, Vasiliki; Anandasabapathy, Sharmila; Hurley, Meghan; Sonig, Anika; Mcguire, Amy",2023.0,https://www.tandfonline.com/doi/full/10.1080/15265161.2023.2237443,journalArticle,"In their article, Cho and Martinez-Martin (2023) argue that developers and users of digital simulacra for modelling health and disease should involve a con- tinued focus on causality of health states, including epidemiological factors with ethical and social justice implications. The authors contend that this requires model developers to move beyond narrow perform- ance metrics so that performance evaluation standards better reflect patient, clinician, and community values and dynamics. As researchers, clinicians and legal scholars deeply involved in examining the ethical implications of digital health technologies including digital representations of patients via digital phenotyp- ing and other forms of computer perception, we agree with Cho and Martinez-Martin's solutions and wish to highlight some practical challenges, as well as offer recommendations at government, developer and user levels for acknowledging the critical role of social determinants of health (SDOH) in digital simulations.",,978-1-4503-9011-8,,2023.0,2023-11-06 14:10:25,2023-11-06 14:10:25,57–60,ICEGOV '21,IEEE,YSMSNUM2,0.1214285714285714,0.5,0.5555555555555556,0.1511467923586332,"Industry-University Cooperative Research Center for Standards and Ethics in Artificial Intelligence, Baylor University, Rutgers University, The University of Miami, Accel AI Institute; Industry-University Cooperative Research Center for Standards and Ethics in Artificial Intelligence, Baylor University, Rutgers University, The University of Miami, Accel AI Institute; Industry-University Cooperative Research Center for Standards and Ethics in Artificial Intelligence, Baylor University, Rutgers University, The University of Miami, Accel AI Institute; Industry-University Cooperative Research Center for Standards and Ethics in Artificial Intelligence, Baylor University, Rutgers University, The University of Miami, Accel AI Institute",23 Jun 2023,1.0,1.0,978-1-6654-5713-2,NSF(grant numbers:CNS-2136961); ,Industries;Ethics;Technological innovation;Government;Education;Production;Mentoring,artificial intelligence;ethical aspects;further education;government policies,center for standards and ethics in artificial intelligence;continuing education;CSEAI initiative;CSEAI workforce development plan;ethical AI standard;government;industry professional;socially responsible AI;socially responsible innovation;undergraduate student,,,4.0,IEEE,23 Jun 2023,Publisher: Taylor & Francis
17,Corporate Digital Responsibility: Stimulating Human-Centric Innovation and Building Trust in the Digital World,Liquid Legal – Humanization and the Law,,,10.1007/978-3-031-14240-6_4,Martina Seidl,2022.0,http://link.springer.com/chapter/10.1007/978-3-031-14240-6_4,Chapter,"This article (1) highlights the development of Corporate Social Responsibility up into the digital era, (2) introduces Corporate Digital Responsibility as an emerging new field of corporate responsibility, (3) presents a framework of topics that are currently being discussed as building blocks of Corporate Digital Responsibility that aim to stimulate human-centric innovation and build trust in the digital world, and (4) provides some thoughts on how lawyers may contribute to shape corporate responsibility in the digital world.",,9798400701924,,2022.0,2023-11-06 14:09:51,2023-11-06 14:09:51,153–168,FAccT '23,IEEE,6BT5R3HU,0.2077922077922078,0.0,0.4615384615384615,0.2512689802409428,"Department of Information Engineering, Marche Polytechnic University, Ancona, Italy; Department of Information Engineering, Marche Polytechnic University, Ancona, Italy; Department of Political Sciences, Communication, and International Relations, University of Macerata, Macerata, Italy; Department of Information Engineering, Marche Polytechnic University, Ancona, Italy; Department of Political Sciences, Communication, and International Relations, University of Macerata, Macerata, Italy",23 Jun 2023,1.0,8.0,978-1-6654-5713-2,,Ethics;Analytical models;Protocols;Statistical analysis;Organizations;Probability;Data models,blockchains;data privacy;ethical aspects;health care;risk management,assessment model;circumstantial ethics risks;constitutive ethics compliance;data governance;ethical principles;ethical scores;ethics risk assessment model;health-related blockchain frameworks;healthcare sector;information technology;intrinsic ethical compliance;patients;personal data;privacy;qualitative ethical assessment;quantitative assessment;quantitative evaluation framework;technological infrastructure,,,31.0,IEEE,23 Jun 2023,
18,Business Ethics for the Digital Era,Business Ethics and Digitization,,,10.1007/978-3-662-64094-4_1,Christoph Lütge,2022.0,http://link.springer.com/chapter/10.1007/978-3-662-64094-4_1,Chapter,"We are currently experiencing a fourth industrial revolution. In this paper, the great opportunities and challenges of change through digital technologies are presented. These ethical risks and benefits are classified and highlighted in the historical and economic ethical discourse. On this basis, the authors define a business ethics for digital technology, companies and markets. The aim of this chapter is to bridge the gap between the ethics of digitalization and business ethics that has not been made before. The main message of the chapter is that digital technologies need good ethical rules to experience social acceptance. People would benefit from the new technologies and experience ethical improvements. The fact that these changes will mainly be driven by companies makes business ethics a central discipline in the discussion of ethical challenges of digital change.",,,2169-3536,2023.0,2023-11-06 14:10:28,2023-11-06 14:10:28,211–219,,IEEE,XYAKMFPB,0.2330827067669172,0.0,0.6666666666666666,0.2496317128699611,"Department of Applied Informatics, School of Information Sciences, University of Macedonia, Thessaloniki, Greece; Department of Applied Informatics, School of Information Sciences, University of Macedonia, Thessaloniki, Greece; Department of Applied Informatics, School of Information Sciences, University of Macedonia, Thessaloniki, Greece",20 Apr 2021,58455.0,58466.0,,,Artificial intelligence;Ethics;Tools;Education;Prediction algorithms;Medical services,artificial intelligence;data protection;ethical aspects,ethical AI framework;human rights;General Data Protection Regulation;data protection principles;AI ethics;GPDR approach;artificial intelligence;pre-defined parameters,,5.0,60.0,CCBY,12 Apr 2021,
19,Towards AI ethics’ institutionalization: knowledge bridges from business ethics to advance organizational AI ethics,AI and Ethics,3.0,1.0,10.1007/s43681-022-00150-y,Mario D. SchultzPeter Seele,2023.0,http://link.springer.com/article/10.1007/s43681-022-00150-y,Article,"This paper proposes to generate awareness for developing Artificial intelligence (AI) ethics by transferring knowledge from other fields of applied ethics, particularly from business ethics, stressing the role of organizations and processes of institutionalization. With the rapid development of AI systems in recent years, a new and thriving discourse on AI ethics has (re-)emerged, dealing primarily with ethical concepts, theories, and application contexts. We argue that business ethics insights may generate positive knowledge spillovers for AI ethics, given that debates on ethical and social responsibilities have been adopted as voluntary or mandatory regulations for organizations in both national and transnational contexts. Thus, business ethics may transfer knowledge from five core topics and concepts researched and institutionalized to AI ethics: (1) stakeholder management, (2) standardized reporting, (3) corporate governance and regulation, (4) curriculum accreditation, and as a unified topic (5) AI ethics washing derived from greenwashing. In outlining each of these five knowledge bridges, we illustrate current challenges in AI ethics and potential insights from business ethics that may advance the current debate. At the same time, we hold that business ethics can learn from AI ethics in catching up with the digital transformation, allowing for cross-fertilization between the two fields. Future debates in both disciplines of applied ethics may benefit from dialog and cross-fertilization, meant to strengthen the ethical depth and prevent ethics washing or, even worse, ethics bashing.",,,2329-924X,2021-06,2023-11-06 01:29:48,2023-11-06 01:29:48,609–622,,IEEE,GFZ5PDIF,0.222707423580786,0.4444444444444444,0.5714285714285714,0.2459017162369429,"M3S. Empirical Software Engineering Research Unit, University of Oulu, Oulu, Finland; Software Engineering Department, Lappeenranta-Lahti University of Technology, Lappeenranta, Finland; School of Business, University of Southern Queensland, Toowoomba, QLD, Australia; School of Computer Science, Wuhan University, Wuhan, China; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; School of Computing and Communications, Lancaster University Leipzig, Leipzig, Germany; Department of Information and Computer Science, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland",,1.0,14.0,,,Artificial intelligence;Ethics;Guidelines;Industries;Instruments;Statistics;Sociology,,,,3.0,,CCBY,10 Mar 2023,
20,Digital Simulacra and the Call for Epistemic Responsibility: An Ubuntu Perspective,American Journal of Bioethics,23.0,9.0,10.1080/15265161.2023.2237467,"Ferlito, Brandon; Proost, Michiel De",2023.0,https://www.tandfonline.com/doi/full/10.1080/15265161.2023.2237467,journalArticle,"Cho and Martinez-Martin (2023) discuss the ethical challenges associated with the use of digital simulacra (also known as digital twins) in biomedicine, specific- ally focusing on the issue of epistemic rights and responsibilities. However, they are unclear about which kind of responsibility concept to use when dis- cussing the ethically salient characteristics of digital twins. While we agree that achieving the ethical devel- opment of digital simulacra requires epistemic respon- sibility, we propose the inclusion of the Ubuntu perspective as an addendum to strengthen the
argument for epistemic responsibility in this context. Ubuntu, a pan-African philosophy, could specify how to conceptualize epistemic responsibility by highlight- ing the importance of forward-looking collective responsibility. In the rest of this commentary, we will argue that this is an ethically fruitful orientation in the context of digital twins.
Ubuntu is a concept originating from Southern Africa that encourages close connections and mutual reliance between people in a society (Metz 2007). The word ""Ubuntu"" is frequently used in the IsiZulu",,978-1-4503-8473-5,,2023.0,2023-11-06 14:10:27,2023-11-06 14:10:27,91–93,AIES '21,IEEE,IAWLANAZ,0.1226993865030674,0.0,0.2727272727272727,0.1328247253264294,"CU Science Discovery, University of Colorado Boulder, Boulder, CO; School of Education, University of Colorado Boulder, Boulder, CO; School of Education, University of Colorado Boulder, Boulder, CO; School of Education, University of Colorado Boulder, Boulder, CO; School of Education, University of Colorado Boulder, Boulder, CO; Department of Computer Science, University of Colorado Boulder, Boulder, CO",30 Nov 2021,1.0,2.0,978-1-6654-4905-2,National Science Foundation(grant numbers:1934151); ,Computer science;Ethics;Privacy;Education;Focusing;Learning (artificial intelligence);Tools,artificial intelligence;ethical aspects;social aspects of automation,ethical AI;artificial intelligence;societal impacts;AI devices;AI works;cultivate ethical awareness;equitable AI technologies;interdisciplinary AI ethics program;embedded ethical dilemmas;AI ethics issue;AI stories;nuanced understanding,,4.0,8.0,IEEE,30 Nov 2021,Publisher: Taylor & Francis
21,Ecological and Ethical Contexts of Digital Literacy in the Light of Phenomenographic Studies,Information Literacy in a Post-Truth Era,,,10.1007/978-3-030-99885-1_14,Jela Steinerová,2022.0,http://link.springer.com/chapter/10.1007/978-3-030-99885-1_14,Chapter,"The paper is aimed at exploration of new contexts of the concept of digital literacy from the perspective of phenomenographic studies. Concepts and basic models of digital literacy are briefly summarized. Results of phenomenographic studies of information literacy are related to digital literacy concepts. Following the sociocultural background, we frame the concepts of digital literacy into ecological and ethical factors of digital information. We apply a meta-analysis of three selected phenomenographic studies in Slovakia related to information literacy, information ethics and information behavior. Common ecological and ethical factors were found, namely emotions, responsibility, truth and value of information. A new interpretation of digital information literacy is derived, based on social representations of experiencing digital information. Ethical awareness of digital resources and ecological adaptations are emphasized. We recommed including values of information, verification of information, digital creativity and experiences into digital information literacy development and courses.",,,1877-0509,2023.0,2023-11-06 14:10:24,2023-11-06 14:10:24,903–903,,,NRJZNXRG,0.2275862068965517,0.75,0.3846153846153846,0.239655283212452,,,,,,,,,,,,,,,Publisher: Springer Verlag
22,Ethically Uncharted Territory: Providing Psychological Services to Parents in Pediatric Settings,Ethics and Behavior,31.0,2.0,10.1080/10508422.2020.1772063,"Andrews, Jack H.",2021.0,https://www.tandfonline.com/doi/full/10.1080/10508422.2020.1772063,journalArticle,"Pediatric psychologists have much to contribute to growing efforts to mitigate the impact of parent mental and behavioral health problems on children’s health and development. However, providing parent-focused psychological services within the pediatric setting brings many new ethical considerations and challenges. Guided by the American Psychological Association’s Ethics Code, this paper presents an ethical case for providing these types of services, followed by a comprehensive analysis of the unique ethical challenges likely to be encountered when doing so. Recommendations are offered to support the ethical delivery of parent-focused psychological services in pediatric settings.",,,1558-2590,2021.0,2023-11-06 14:05:13,2023-11-06 14:05:13,77–90,,IEEE,8F2VIFT9,0.1505376344086021,0.0,0.0,0.1321279364427094,"Department of Veterans Affairs GRECC, Bedford, VA, USA; University of Wisconsin-Madison, Madison, WI, USA; Rivier University, Nashua, NH, USA; University of Stavanger, Stavanger, Norway; Dartmouth College, Hanover, NH, USA",7 Jul 2022,41.0,50.0,,National Institute of Mental Health(grant numbers:K01MH117496); ,Mental health;Interviews;Privacy;Security;Ethics;Social networking (online);Codes,behavioural sciences computing;data privacy;ethical aspects;health care;medical computing;patient treatment,digital ethics;mental health conditions;digital mental health support platforms;potential end-users;digital mental health ethics;digital mental health tools;technology engagement;urban community mental health center;digital mental health interventions;support specialists understand;mental health services;mental health technologies;mental health systems progresses;digitalization;confidentiality;privacy;service users;peer support specialists,,1.0,31.0,USGov,1 Mar 2022,Publisher: Routledge
23,"Dealing with Ethics, Privacy, and Security",Reimagining Businesses with AI,,,10.1002/9781119709183.ch12,S. Sinha; K. Al Huraimel,2021.0,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9821896.pdf&bkn=9820895&pdfType=chapter,Wiley Data and Cybersecurity eBook Chapters,"This chapter broadens the horizon about ethics, data privacy, and cybersecurity in businesses. It gives practical guidance on how to build barriers against threats. In the age of artificial intelligence (AI), ethics has attained a completely different level of significance and debate. The chapter discusses some of the key issues to consider around ethics and AI, including artificial stupidity and data trustworthiness. Privacy starts with data ownership. The General Data Protection Regulation (GDPR) has stringent stipulations around the various rights of individuals around the personal data. It brings personal data into a complex and protective regulatory regime. AI programs have increased vulnerabilities because there are more difficult‐to‐identify places to inject and bury threat vectors. The chapter provides information on cybersecurity assurance practices and industry standards for cybersecurity compliance. AI is also a great tool for identifying cyber‐threats. This is one of the biggest emerging applications of AI techniques.",,9798400702310,,2023,2023-11-06 01:29:48,2023-11-06 01:29:48,705–714,AIES '23,Wiley,4REIZHKM,0.1283783783783783,0.0,0.5,0.1427372634824336,NA; NA,,193.0,206.0,9781119709176,,Artificial intelligence;Ethics;Business;Privacy;Economics;Training;Decision making,,,,,,,12 Jul 2022,
24,A Study on the Development of Digital literacy Diagnosis Tool for Lifelong Education Institutions,"2021 21st ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Winter)",,,10.1109/SNPDWinter52325.2021.00025,C. -J. Lee; S. -W. Choi,2021.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9403504,IEEE Conferences,"It is an era in which the level of national digital literacy is the adaptability and competitiveness of the future society. In line with these times, studies on various literacy education and programs are being actively conducted in the field of lifelong education. However most of them are fragmentary event education or one-time programs. It is difficult to say that it is an education for continuous improvement of digital literacy capabilities.Lifelong education institutions need educational programs and teachers that able to not onlyutilize ICT but also communicate through digital, exchange information and creatively construct newly accepted information. For this it is necessary to measure the digital literacy competency and level of lifelong education teachers to properly recognize the digital literacy competency required for their job.They can continually develop and test their digital literacy capabilities by repeating these measurements, This study aims to present a methodology for developing competency diagnosis tools in the categories of digital ethics, digital competence, and digital application according to the education association's digital literacy framework.",Digital literacy;Diagnosis Tool;Lifelong Education Institutions;Digital Ethic;Digital Ability,,,2021-08,2023-11-06 01:30:04,2023-11-06 01:30:04,,,IEEE,2BYKVZ92,0.1301775147928994,0.2857142857142857,0.1428571428571428,0.1415588372134364,"Department of Lifelong Education, Soongsil University, Seoul, Korea; Department of Lifelong Education, Soongsil University, Seoul, Korea",16 Apr 2021,84.0,86.0,978-1-6654-1843-0,,Ethics;Education;Tools;Real-time systems;Reliability;Smart devices;Software engineering,computer aided instruction;computer literacy;continuing professional development;educational institutions;ethical aspects,digital literacy diagnosis tool;lifelong education institutions;national digital literacy;literacy education;fragmentary event education;one-time programs;educational programs;digital literacy competency;lifelong education teachers;competency diagnosis tools;digital ethics;digital competence;education association;continuous improvement;ICT,,,12.0,IEEE,16 Apr 2021,
25,Developing Ethical Mindedness and Ethical Imagination in Postgraduate Professionally Oriented Education,Ethics and the Scholarship of Teaching and Learning,,,10.1007/978-3-031-11810-4_12,Mamun AlaSvetlana De VosSumesh NairJanice Orrell,2022.0,http://link.springer.com/chapter/10.1007/978-3-031-11810-4_12,Chapter,"This chapter explores the attributes of ethical mindedness and ethical imagination to argue that these are desirable graduate competencies that should be fostered in postgraduate profession-oriented education. Ethical mindedness, guided by defensible, high standards, is a disposition and a practice that encompasses respect and impartiality regarding individuals, teams, organizations and phenomena. Ethical imagination is the capability to examine and identify potential ethical issues in novel situations and create ethical ways to confront them. To ensure that ethical practices occur in higher education research, institutional ethics committees are required to examine the ethical implication of each research application based on publicly espoused regulatory ethical guidelines and standards. However, ethics committees can only call for compliance with regulations and standards but cannot ensure that all researchers will exercise ethical behaviour when they are confronted with unforeseen ethically ambiguous conditions. For this reason, in this chapter, we assert that assuring ethical research practices requires more than ensuring compliance with a set of rules. Ethics should be viewed as a knowledge discipline, incorporating attributes of ethical mindedness and ethical imagination that are fostered as graduate dispositions and capabilities that contribute to the development of ethically-minded business professionals. To conclude the chapter, we will generate a conceptual framework for situating the role of ethical mindedness and ethical imagination in a supportive institutional climate and culture in postgraduate professions-oriented research education. We also offer two propositions that would provide the opportunity for empirical testing and theoretical advancement in the field of ethics education.",,,,2022.0,2023-11-06 14:09:49,2023-11-06 14:09:49,1–14,,IEEE,WF3XQICW,0.2145748987854251,0.0,0.5454545454545454,0.2322332426232071,"Pratt School of Engineering, Duke University, Durham, NC, USA; The Graduate School, Duke University, Durham, NC, USA; School of Law, Duke University, Durham, NC, USA",2 Aug 2023,353.0,356.0,979-8-3503-3984-0,,Surveys;Ethics;Law;NIST;Regulation;Safety;Risk management,artificial intelligence;data protection;ethical aspects;risk management,AI digital tool Product Lifecycle Governance Framework;AI digital tools;AI ethics;AI product lifecycles;AI product use cases;European AI Act;forward new digital tools;product lifecycle approach;published AI-specific,,,20.0,IEEE,2 Aug 2023,Publisher: Springer Verlag
26,Health professions students’ approaches towards practice-driven ethical dilemmas; a case-based qualitative study,BMC Medical Education,23.0,1.0,10.1186/s12909-023-04089-4,Phyu Hnin HlaingAhmed HasswanVida SalmanpourSarra ShorbagiTahra AlMahmoudFeras Jassim JirjeesSausan Al KawasSalman Yusuf GurayaNabil Sulaiman,2023.0,http://link.springer.com/article/10.1186/s12909-023-04089-4,Article,The findings of this study explained how health professions students resolve ethical dilemmas in their ethical reasoning process. This work sheds light on ethical development in medical education by gaining students’ perspectives in dealing with complex clinical scenarios. The findings from this qualitative evaluation will aid academic medical institutions in developing medical and research-based ethics curriculum to transform students to ethical leaders.,,,,2021.0,2023-11-06 14:05:09,2023-11-06 14:05:09,e12383,,,JL9XHX2U,0.2258064516129032,,0.25,0.2305519462177278,,,,,,,,,,,,,,,
27,The AI life cycle: a holistic approach to creating ethical AI for health decisions,Nature Medicine,28.0,11.0,10.1038/s41591-022-01993-y,Madelena Y. NgSupriya KapurKatherine D. BlizinskyTina Hernandez-Boussard,2022.0,http://link.springer.com/article/10.1038/s41591-022-01993-y,Article,"The ethical impact of AI algorithms in healthcare should be assessed at each phase, from data creation to model deployment, so that their use narrows rather than widens inequalities.",,978-1-4503-8492-6,,2021.0,2023-11-06 14:05:11,2023-11-06 14:05:11,421–433,DG.O'21,Association for Computing Machinery,GGPKPH9B,0.1724137931034483,0.0,0.3571428571428571,0.2297917599641737,,,,,,,,,,,,,,,Publisher: Springer Singapore
28,Data Ethics and Challenges,SpringerBriefs in Applied Sciences and Technology,,,10.1007/978-981-19-0752-4,Dr. Samiksha ShuklaJossy P. GeorgeKapil TiwariDr. Joseph Varghese Kureethara,2022.0,http://link.springer.com/book/10.1007/978-981-19-0752-4,Book,"
This book gives a thorough and systematic introduction to Data, Data Sources, Dimensions of Data, Privacy, and Security Challenges associated with Data, Ethics, Laws, IPR Copyright, and Technology Law. This book will help students, scholars, and practitioners to understand the challenges while dealing with data and its ethical and legal aspects. The book focuses on emerging issues while working with the Data.
",,,1388-1957,2021-12,2023-11-06 01:30:04,2023-11-06 01:30:04,713–726,,,BSYCZR64,0.1935483870967742,0.3157894736842105,0.75,0.2264296187683284,,,,,,,,,,,,,,,
