,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,ISBN,ISSN,Date,Date Added,Date Modified,Pages,Series,Publisher,Key,Eligibility_Abstract_Score,Eligibility_Keywords_Score,Eligibility_Title_Score,Eligibility_Score
15,18.0,20.0,20.0,Utilizing User Stories To&nbsp;Bring AI Ethics Into&nbsp;Practice In&nbsp;Software Engineering,"Product-Focused Software Process Improvement: 23rd International Conference, PROFES 2022, Jyväskylä, Finland, November 21–23, 2022, Proceedings",,,10.1007/978-3-031-21388-5_41,"Kemell, Kai-Kristian; Vakkuri, Ville; Halme, Erika",2022.0,https://doi.org/10.1007/978-3-031-21388-5_41,conferencePaper,"AI ethics is a research area characterized by a prominent gap between research and practice. With most studies in the area being conceptual in nature or focused on technical ML (Machine Learning) solutions, the link between AI (Artificial Intelligence) ethics and SE (Software Engineering) practice remains thin. Establishing this link, we argue, is vital going forward. While conceptual discussion is required to define AI ethics, much progress has already been made in this regard. Similarly, though technical ML solutions are also required for practical implementation, ML systems are ultimately still software, and thus SE cannot be forgotten. In this paper, we propose one way of bringing AI ethics closer to conventional SE practice: utilizing user stories to implement AI ethics by means of Ethical User Stories (EUS). EUS can be used to formulate both functional and non-functional requirements, although an ethical framework is required produce them. By treating AI ethics as a part of the development process in this fashion, as opposed to a separate task, it can ideally become a part of SE for ML systems.",AI ethics; Artificial Intelligence; Ethical tool; Ethical user story; User story,978-3-031-21387-8,,2022,2023-11-06 01:29:48,2023-11-06 01:29:48,553–558,,Springer-Verlag,2VG4RNXX,0.135593220338983,0.8181818181818182,0.3333333333333333,0.192289315187082
17,21.0,23.0,23.0,How Does Value Similarity Affect Human Reliance in AI-Assisted Ethical Decision Making?,"Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3600211.3604709,"Narayanan, Saumik; Yu, Guanghui; Ho, Chien-Ju; Yin, Ming",2023.0,https://doi.org/10.1145/3600211.3604709,conferencePaper,"This paper explores the impact of value similarity between humans and AI on human reliance in the context of AI-assisted ethical decision-making. Using kidney allocation as a case study, we conducted a randomized human-subject experiment where workers were presented with ethical dilemmas in various conditions, including no AI recommendations, recommendations from a similar AI, and recommendations from a dissimilar AI. We found that recommendations provided by a dissimilar AI had a higher overall effect on human decisions than recommendations from a similar AI. However, when humans and AI disagreed, participants were more likely to change their decisions when provided with recommendations from a similar AI. The effect was not due to humans’ perceptions of the AI being similar, but rather due to the AI displaying similar ethical values through its recommendations. We also conduct a preliminary analysis on the relationship between value similarity and trust, and potential shifts in ethical preferences at the population-level.",AI ethics; ethical preference; human reliance on AI,9798400702310,,2023,2023-11-06 01:29:49,2023-11-06 01:29:49,49–57,AIES '23,Association for Computing Machinery,BYSWACNN,0.1493506493506493,0.875,0.25,0.1882661343758282
20,24.0,26.0,26.0,Trustworthy AI for the People?,"Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3461702.3462470,"Figueras, Clàudia; Verhagen, Harko; Cerratto Pargman, Teresa",2021.0,https://doi.org/10.1145/3461702.3462470,conferencePaper,"While AI systems become more pervasive, their social impact is increasingly hard to measure. To help mitigate possible risks and guide practitioners into a more responsible design, diverse organizations have released AI ethics frameworks. However, it remains unclear how ethical issues are dealt with in the everyday practices of AI developers. To this end, we have carried an exploratory empirical study interviewing AI developers working for Swedish public organizations to understand how ethics are enacted in practice. Our analysis found that several AI ethics issues are not consistently tackled, and AI systems are not fully recognized as part of a broader sociotechnical system.",AI ethics in practice; AI in public organizations; citizen empowerment; responsible AI; responsible AI principles in practice; trustworthy AI,978-1-4503-8473-5,,2021,2023-11-06 01:29:49,2023-11-06 01:29:49,269–270,AIES '21,Association for Computing Machinery,4VB2H2EN,0.145631067961165,0.3684210526315789,0.2,0.1842344041757601
22,27.0,30.0,30.0,Designing Up with Value-Sensitive Design: Building a Field Guide for Ethical ML Development,"Proceedings of the 2022 ACM Conference on Fairness, Accountability, and Transparency",,,10.1145/3531146.3534626,"Boyd, Karen",2022.0,https://doi.org/10.1145/3531146.3534626,conferencePaper,"If “studying up,” or researching powerful actors in a social system, can offer insight into the workings and effects of power in social systems, this paper argues that “designing up” will give researchers and designers a tool to intervene. This paper offers a conception of “designing up,” applies the structure of Value Sensitive Design (VSD) to accomplish it, and submits an example of a tool designed to support ethical sensitivity, especially particularization and judgment. The designed artifact is a field guide for ethical mitigation strategies that uses tool profiles and filters to aid machine learning (ML) engineers as they build understanding of an ethical issue they have recognized and as they match the particulars of their problem to a technical ethical mitigation. This guide may broaden its users’ awareness of potential ethical issues, important features of ethical issues and their mitigations, and the breadth of available mitigations. Additionally, it may encourage ethical sensitivity in future ML projects. Feedback from ML engineers and technology ethics researchers rendered several usability improvements and ideas for future development. The tool can be found at: https://ml-ethics-tool.web.app/.",AI ethics; ethics; machine learning; datasets; development practices; ethical sensitivity,978-1-4503-9352-2,,2022,2023-11-06 01:30:01,2023-11-06 01:30:01,2069–2082,FAccT '22,Association for Computing Machinery,TH8CRF2C,0.1270718232044199,0.8,0.2307692307692307,0.1764500794887535
23,28.0,31.0,31.0,Ethical Awareness of UXers in the Loop: Ethical Issues in the Uxer-AI Collaboration Process from a UX Perspective,Proceedings of the 25th International Conference on Mobile Human-Computer Interaction,,,10.1145/3565066.3608691,"Yoon, Harin; Jun, Soojin",2023.0,https://doi.org/10.1145/3565066.3608691,conferencePaper,"Artificial Intelligence (AI) has emerged as a prominent collaborative tool across diverse domains, driving innovation in various tasks. However, this human–AI process brings forth a range of ethical considerations that require careful examination. This study investigates the ethical concerns that arise during the user experience designer (UXer)–AI co-creation process and the evolving role of UXers. Employing a mixed methods approach, combining observational task performance experiments and in-depth interviews, the study captures UXers' perceptions of ethical issues in the UXer-AI co-creation process. The findings shed light on three prominent ethical challenges in the UXer–AI co-creation process: reliability, bias, and unemployment. Consequently, this study emphasizes the crucial role of UXers, such as fact-checking, empathy-based decision making, and effective communication with AI, mitigating these ethical challenges. These findings enhance our understanding of UXers' responsibilities and shed light on the potential of leveraging AI as an effective collaborative tool for task completion.",AI Ethics; Generative AI; Co-Creation; Ethical UX; Uxer-AI Co-Creation Model,978-1-4503-9924-1,,2023,2023-11-06 01:30:01,2023-11-06 01:30:01,,MobileHCI '23 Companion,Association for Computing Machinery,72KLRSH2,0.1216216216216216,0.7,0.3333333333333333,0.1740387491738843
24,29.0,32.0,32.0,Mapping Research Strands of Ethics of Artificial Intelligence in Healthcare: A Bibliometric and Content Analysis,Comput. Biol. Med.,135.0,C,10.1016/j.compbiomed.2021.104660,"Saheb, Tahereh; Saheb, Tayebeh; Carpenter, David O.",2021.0,https://doi.org/10.1016/j.compbiomed.2021.104660,journalArticle,"The growth of artificial intelligence in promoting healthcare is rapidly progressing. Notwithstanding its promising nature, however, AI in healthcare embodies certain ethical challenges as well. This research aims to delineate the most influential elements of scientific research on AI ethics in healthcare by conducting bibliometric, social network analysis, and cluster-based content analysis of scientific articles. Not only did the bibliometric analysis identify the most influential authors, countries, institutions, sources, and documents, but it also recognized four ethical concerns associated with 12 medical issues. These ethical categories are composed of normative, meta-ethics, epistemological and medical practice. The content analysis complemented this list of ethical categories and distinguished seven more ethical categories: ethics of relationships, medico-legal concerns, ethics of robots, ethics of ambient intelligence, patients' rights, physicians’ rights, and ethics of predictive analytics. This analysis likewise identified 40 general research gaps in the literature and plausible future research strands. This analysis furthers conversations on the ethics of AI and associated emerging technologies such as nanotech and biotech in healthcare, hence, advances convergence research on the ethics of AI in healthcare. Practically, this research will provide a map for policymakers and AI engineers and scientists on what dimensions of AI-based medical interventions require stricter policies and guidelines and robust ethical design and development.",Ethics; Artificial intelligence; Content analysis; Healthcare; Bibliometric analysis; Network visualization; Robotics,,0010-4825,2021-08,2023-11-06 01:30:04,2023-11-06 01:30:04,,,,2BYKVZ92,0.1761904761904762,0.1818181818181818,0.1333333333333333,0.1738921640697445
25,30.0,33.0,33.0,Mental Contents in Designing AI Ethics,"Culture and Computing: 10th International Conference, C&amp;C 2022, Held as Part of the 24th HCI International Conference, HCII 2022, Virtual Event, June 26 – July 1, 2022, Proceedings",,,10.1007/978-3-031-05434-1_32,"Saariluoma, Pertti; Myllylä, Mari; Karvonen, Antero",2022.0,https://doi.org/10.1007/978-3-031-05434-1_32,conferencePaper,"In future intelligent digital society, the way people organize their life around technologies shall change because intelligent machines can follow ethical rules in their behavior. In the human mind, ethics exist as contents of mental representations. Therefore, it is important to investigate the information contents of mental representations or mental contents. One can also call this approach content-based cognitive research. The analysis of mental contents makes it possible to mimic human ethical information processing and construct human digital twins for designing ethical machine information processes. In this paper, we analyze the relevant AI aspects of Hume’s guillotine. Hume asked critically whether facts can be used to derive values. His answer was negative. However, modern information technology can collect huge masses of facts, but can these facts be used in improving how we should live? Content-based analysis of human ethical information processing opens possibilities to bypass the logical dilemma of Hume’s guillotine.",Ethical discourse; Hume’s guillotine; Mental contents; Weak and strong ethical AI,978-3-031-05433-4,,2022,2023-11-06 01:29:48,2023-11-06 01:29:48,477–487,,Springer-Verlag,ZWPT3FNA,0.1258278145695364,0.6363636363636364,0.5,0.173611085946733
26,31.0,34.0,34.0,From the Ground Truth up: Doing AI Ethics from Practice to Principles,AI Soc.,38.0,4,10.1007/s00146-021-01336-4,"Brusseau, James",2022.0,https://doi.org/10.1007/s00146-021-01336-4,journalArticle,"Recent AI ethics has focused on applying abstract principles downward to practice. This paper moves in the other direction. Ethical insights are generated from the lived experiences of AI-designers working on tangible human problems, and then cycled upward to influence theoretical debates surrounding these questions: (1) Should AI as trustworthy be sought through explainability, or accurate performance? (2) Should AI be considered trustworthy at all, or is reliability a preferable aim? (3) Should AI ethics be oriented toward establishing protections for users, or toward catalyzing innovation? Specific answers are less significant than the larger demonstration that AI ethics is currently unbalanced toward theoretical principles, and will benefit from increased exposure to grounded practices and dilemmas.",AI case studies; AI ethics; Healthcare AI; Philosophy and AI; Trustworthy AI,,0951-5666,2022-01,2023-11-06 01:29:48,2023-11-06 01:29:48,1651–1657,,,8GLT86ME,0.1217391304347826,0.5833333333333334,0.3333333333333333,0.1735443018845113
27,32.0,35.0,35.0,A Study on the Modeling of Major Factors for the Principles of AI Ethics,DG.O2021: The 22nd Annual International Conference on Digital Government Research,,,10.1145/3463677.3463733,"Lim, Ji Hun; Kwon, Hun Yeong",2021.0,https://doi.org/10.1145/3463677.3463733,conferencePaper,"The fourth industrial revolution, centered on artificial intelligence (AI), signals a significant transformation in human society. For this social transformation to ultimately be for humankind's prosperity and happiness, serious consideration of AI ethics is needed. As a result, many countries have begun to establish AI ethics principles, and the international community is pushing for standardization on AI ethics principles. This study aims to derive general factors of ethical principles that should be considered to establish and standardize AI ethics principles. To this end, we present a ""general AI ethics principles model,"" including 12 major factors, based on the recently published AI ethics principles in 15 countries. Furthermore, the major factors for AI ethics principles that we derived through this study ultimately confirmed that AI should be useful to all humans and is oriented toward the value of building a ""Trustworthy"" AI society. Based on these fundamental ideologies, we confirmed that each factor interconnects with each other. It is hoped that the AI ethics principles model that reflects this will be referred to national and international communities that have yet to develop Principles of AI Ethics. However, Factors for AI ethics principles should be constructed following the principles' intent and goal orientation, ensuring its feasibility, rather than merely duplicating the principles model.",,978-1-4503-8492-6,,2021,2023-11-06 01:29:49,2023-11-06 01:29:49,208–218,DG.O'21,Association for Computing Machinery,CP5RISCE,0.1706161137440758,0.0,0.2142857142857142,0.1727108580738546
29,34.0,37.0,37.0,Rebuilding 'ethics' to Govern AI: How to Re-Set the Boundaries for the Legal Sector?,Proceedings of the Nineteenth International Conference on Artificial Intelligence and Law,,,10.1145/3594536.3595156,"Unver, Mehmet B.",2023.0,https://doi.org/10.1145/3594536.3595156,conferencePaper,"Artificial intelligence (AI) has been transforming the legal sector and profession given every day enhancing AI-driven legal tech tools. Considering the far-reaching ethical implications of such tools and the disparate functionalities of 'AI ethics' and 'legal ethics', this paper puts into question the interplay between these ethical domains and their underlying rules. After fleshing out the governance of ethics under each domain, e.g. respectively professional conduct rules and self-regulatory principles, and signposting the unresolved ethical challenges of status quo, e.g. particularly concerning cross-domain issues, the paper discusses how they need to interact, based on the three policy options: 'revision of the conduct rules', 'individual (company level) collaboration' and 'higher-level collaboration'. It is concluded that 'higher-level collaboration' between the stakeholders is found to be the most sustainable and long-term option given the need to mitigate the ethical challenges concerning the legal sector from a holistic point of view.",AI ethics; fairness; accountability; transparency; Legal ethics,9798400701979,,2023,2023-11-06 01:29:59,2023-11-06 01:29:59,306–315,ICAIL '23,Association for Computing Machinery,R8UG3WLT,0.1360544217687075,0.7142857142857143,0.2142857142857142,0.1717094798118252
30,35.0,38.0,38.0,Making Art with and about Artificial Intelligence: Three Approaches to Teaching AI and AI Ethics to Middle and High School Students,Proceedings of the 53rd ACM Technical Symposium on Computer Science Education V. 2,,,10.1145/3478432.3499157,"Walsh, Benjamin; Ali, Safinah; Castro, Francisco; Desportes, Kayla; DiPaola, Daniella; Lee, Irene; Payne, William; Sieke, Scott; Zhang, Helen",2022.0,https://doi.org/10.1145/3478432.3499157,conferencePaper,"In this hands-on workshop participants will experience the curricula from three NSF funded projects, which engage youth in creating art with and about AI technologies while exploring related ethical concerns.danceON is a web-based creative coding environment that engages learners in creating multimedia dance performances. Besides writing reactive code that generates animations to augment dance performances, students also use the system to explore the boundaries and biases of AI.DAILy is a curriculum focused on developing AI literacy among middle school students through the integration of technical concepts and processes, ethical and societal implications, and career futures in AI. Participants will be focusing on the AI + art modules of DAILy.Imagine AI develops project-based curricula to support youth in exploring critical ethical issues related to AI. Students read short stories featuring youth at the center of AI ethical dilemmas, build and manipulate AI systems, and create digital media to express ethical stances.Participants will leave the workshop with multiple AI teaching strategies that blend technical learning with social purpose and creative expression.",ai ethics education; art; artificial intelligence education,978-1-4503-9071-2,,2022,2023-11-06 01:29:50,2023-11-06 01:29:50,1203,SIGCSE 2022,Association for Computing Machinery,EZQ5A6TG,0.1538461538461538,0.4285714285714285,0.1904761904761904,0.1691687840484339
31,36.0,39.0,39.0,AI Ethics and the Banality of Evil,Ethics and Inf. Technol.,23.0,3,10.1007/s10676-021-09587-x,"Tajalli, Payman",2021.0,https://doi.org/10.1007/s10676-021-09587-x,journalArticle,"In this paper, I draw on Hannah Arendt’s notion of ‘banality of evil’ to argue that as long as AI systems are designed to follow codes of ethics or particular normative ethical theories chosen by us and programmed in them, they are Eichmanns destined to commit evil. Since intelligence alone is not sufficient for ethical decision making, rather than strive to program AI to determine the right ethical decision based on some ethical theory or criteria, AI should be concerned with avoiding making the wrong decisions, and this requires hardwiring the thinking activity as a prerequisite for decision making.",Artificial Intelligence; Artificial Thinking; Banality of Evil,,1388-1957,2021-09,2023-11-06 01:29:48,2023-11-06 01:29:48,447–454,,,5CDJRHE9,0.1717171717171717,0.0,0.4285714285714285,0.1689992457037911
