Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,Date,Date Added,Date Modified,Pages,Extra,Key
Equity in Agetech for Ageing Well in Technology-Driven Places: The Role of Social Determinants in Designing Ai-Based Assistive Technologies,Science and Engineering Ethics,28,6,10.1007/s11948-022-00397-y,"Rubeis, Giovanni; Fang, Mei Lan; Sixsmith, Andrew",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,1–15,Publisher: Springer Verlag,ES2VGCKT
Machine Ethics: Do Androids Dream of Being Good People?,Science and Engineering Ethics,29,2,10.1007/s11948-023-00433-5,"Génova, Gonzalo; Moreno, Valentín; González, M. Rosario",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,1–17,Publisher: Springer Verlag,A2NBML78
Ai as an Epistemic Technology,Science and Engineering Ethics,29,5,10.1007/s11948-023-00451-3,"Alvarado, Ramón",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,1–30,,MLSGU2CN
Towards a Governance Framework for Brain Data,Neuroethics,15,2,10.1007/s12152-022-09498-8,"Ienca, Marcello; Fins, Joseph J.; Jox, Ralf J.; Jotterand, Fabrice; Voeneky, Silja; Andorno, Roberto; Ball, Tonio; Castelluccia, Claude; Chavarriaga, Ricardo; Chneiweiss, Hervé; Ferretti, Agata; Friedrich, Orsolya; Hurst, Samia; Merkel, Grischa; Molnár-Gábor, Fruzsina; Rickli, Jean-Marc; Scheibner, James; Vayena, Effy; Yuste, Rafael; Kellmeyer, Philipp",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,1–14,Publisher: Springer Verlag,WF3XQICW
Choosing How to Discriminate: Navigating Ethical Trade-Offs in Fair Algorithmic Design for the Insurance Sector,Philosophy and Technology,34,4,10.1007/s13347-021-00444-9,"Loi, Michele; Christen, Markus",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,967–992,Publisher: Springer Verlag,LYXFFZ74
Ethical Issues in Democratizing Digital Phenotypes and Machine Learning in the Next Generation of Digital Health Technologies,Philosophy and Technology,34,4,10.1007/s13347-021-00445-8,"Mulvenna, Maurice D.; Bond, Raymond; Delaney, Jack; Dawoodbhoy, Fatema Mustansir; Boger, Jennifer; Potts, Courtney; Turkington, Robin",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,1945–1960,Publisher: Springer Verlag,4UZY4DMG
Why Digital Assistants Need Your Information to Support Your Autonomy,Philosophy and Technology,34,4,10.1007/s13347-021-00481-4,"Heinrichs, Jan-Hendrik",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,1687–1705,Publisher: Springer Verlag,IUSZAPCA
"Charting the Terrain of Artificial Intelligence: A Multidimensional Exploration of Ethics, Agency, and Future Directions",Philosophy and Technology,36,2,10.1007/s13347-023-00643-6,"Ray, Partha Pratim; Das, Pradip Kumar",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,1–7,Publisher: Springer Verlag,RXTPQEY3
Solidarity as an Empirical-Ethical Framework for the Analysis of Contact Tracing Apps – a Novel Approach,Philosophy and Technology,36,3,10.1007/s13347-023-00648-1,"Haltaufderheide, Joschka; Krämer, Dennis; D?Angelo, Isabella; Brachem, Elisabeth; Vollmann, Jochen",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,1–24,Publisher: Springer Verlag,SL7G8MP5
The Role of Peers on Student Ethical Decision Making: Evidence in Support of the Social Intuitionist Model,International Journal of Ethics Education,6,2,10.1007/s40889-021-00125-3,"Ohreen, David",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,289–309,Publisher: Springer Verlag,9AZ9HCXI
Covid-19 Pandemic Reveals Challenges in Engineering Ethics Education,International Journal of Ethics Education,8,1,10.1007/s40889-022-00156-4,"Nguyen, Luan M.; Poleacovschi, Cristina; Faust, Kasey M.; Padgett-Walsh, Kate; Feinstein, Scott G.; Vaziri, Bobby; LaPatin, Michaela; Rutherford, Cassandra J.",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,99–127,Publisher: Springer Verlag,42JI3SRF
"?I?Ve Got Nothing Against Vegans? But?: To Divulge, Dissemble or Divert Positionality in Rural Research Settings",Food Ethics,8,2,10.1007/s41055-023-00128-4,"Nye, Caroline; Wheeler, Rebecca",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,1–16,Publisher: Springer Verlag,L6RLRGIX
Moral Awareness of College Students Regarding Artificial Intelligence,Asian Bioethics Review,13,4,10.1007/s41649-021-00182-2,"Ho, Manh Tung; Ghotbi, Nader",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,421–433,Publisher: Springer Singapore,GGPKPH9B
A Neo-Republican Critique of Ai Ethics,Journal of Responsible Technology,9,C,10.1016/j.jrt.2021.100022,"Maas, Jonne",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,100022,,X68CJ3X9
A Method for Ethical Ai in Defence: A Case Study on Developing Trustworthy Autonomous Systems,Journal of Responsible Technology,11,,10.1016/j.jrt.2022.100036,"Roberson, Tara; Bornstein, Stephen; Liivoja, Rain; Ng, Simon; Scholz, Jason; Devitt, Kate",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,100036,,ZW28TMPR
Pandemics at Work: Convergence of Epidemiology and Ethics,Business Ethics Quarterly,32,1,10.1017/beq.2021.32,"Thornton, Michele; Martin, William ?Marty?",2022,,journalArticle,,,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,41–74,,5U584RZ8
The Ethics of Alternative Currencies,Business Ethics Quarterly,32,2,10.1017/beq.2021.52,"Larue, Louis; Meyer, Camille; Hudon, Marek; Sandberg, Joakim",2022,,journalArticle,,,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,299–321,,A5RRZBM8
What?s Wrong with Automated Influence,Canadian Journal of Philosophy,52,1,10.1017/can.2021.23,"Benn, Claire; Lazar, Seth",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,125–148,,WHIY96NE
Algorithms and the Individual in Criminal Law,Canadian Journal of Philosophy,52,1,10.1017/can.2021.28,"Jorgensen, Renée",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,1–17,,78QTWKAJ
"The Algorithmic Leviathan: Arbitrariness, Fairness, and Opportunity in Algorithmic Decision-Making Systems",Canadian Journal of Philosophy,52,1,10.1017/can.2022.3,"Creel, Kathleen; Hellman, Deborah",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,26–43,,IV8XMKJM
What Makes Personal Data Processing by Social Networking Services Permissible?,Canadian Journal of Philosophy,52,1,10.1017/can.2022.4,"Wolmarans, Lichelle; Voorhoeve, Alex",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,93–108,,FP6J9EHM
The Importance of Forgetting,Episteme,19,4,10.1017/epi.2022.36,"Basu, Rima",2022,,journalArticle,,,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,471–490,,MJ45Y7HR
Dialogical Answerability and Autonomy Ascription,Hypatia,37,1,10.1017/hyp.2021.81,"Lee, Ji-Young",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,97–110,,Y8JQX36F
Optimizing Ethics Engagement in Research: Learning From the Ethical Complexities of Studying Opioid Use in Pregnancy,"Journal of Law, Medicine and Ethics",50,2,10.1017/jme.2022.61,"Shah, Seema K.; Gross, Marielle; Nebeker, Camille",2022,,journalArticle,,,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,339–347,,M9GTVVNG
The Use and Ethics of Digital Twins in Medicine,"Journal of Law, Medicine and Ethics",50,3,10.1017/jme.2022.97,"Iqbal, Jeffrey David; Krauthammer, Michael; Biller-Andorno, Nikola",2022,,journalArticle,,,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,583–596,,H3NU42Q4
Telehealth in the Metaverse: Legal & Ethical Challenges for Cross-Border Care in Virtual Worlds,"Journal of Law, Medicine and Ethics",51,2,10.1017/jme.2023.64,"Solaiman, Barry",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,287–300,,KBC5Y8VK
Engines of Patriarchy: Ethical Artificial Intelligence in Times of Illiberal Backlash Politics,Ethics and International Affairs,35,3,10.1017/s0892679421000356,"Schopmans, Hendrik; Cupać, Jelena",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,329–342,,TVUJ7YQ4
Technology in Espionage and Counterintelligence: Some Cautionary Lessons From Armed Conflict,Ethics and International Affairs,37,2,10.1017/s0892679423000199,"Leveringhaus, Alex",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,147–160,,YREIC925
A Future for Migrants with Acute Heart Problems Seeking Asylum?,Cambridge Quarterly of Healthcare Ethics,30,2,10.1017/s0963180120000857,"Hermerén, Göran",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,297–311,,N8BGRNWT
Artificial Moral Responsibility: How We Can and Cannot Hold Machines Responsible,Cambridge Quarterly of Healthcare Ethics,30,3,10.1017/s0963180120000985,"Tigard, Daniel W.",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,435–447,,WISHQH9K
Socrates in the Fmri Scanner: The Neurofoundations of Morality and the Challenge to Ethics,Cambridge Quarterly of Healthcare Ethics,30,4,10.1017/s0963180121000074,"Rueda, Jon",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,606–612,,7D458A32
The Ethics of Algorithms in Healthcare,Cambridge Quarterly of Healthcare Ethics,31,1,10.1017/s0963180121000864,"Oxholm, Christina; Christensen, Anne-Marie S.; Nielsen, Anette S.",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,119–130,,GR395JM2
From ?What? to ?How?: Experiential Learning in a Graduate Medicine for Ethicists Course,Cambridge Quarterly of Healthcare Ethics,31,1,10.1017/s0963180121000876,"Keune, Jason D.; Salter, Erica",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,131–140,,CR3TRY58
Trusting the Government to Do the Right Thing: Data Ethics in Australia?s Pandemic Response,Cambridge Quarterly of Healthcare Ethics,32,2,10.1017/s0963180122000573,"Dalton-Brown, Sally",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,222–230,,4NVA9Y9V
When Appearances Matter: A Taxonomy and Ethics for Demographic-Based Provider Requests,Cambridge Quarterly of Healthcare Ethics,32,3,10.1017/s0963180122000731,"Wu, Carrie C.; Appel, Jacob M.",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,406–413,,YJXNBTBN
Moral Uncertainty and Our Relationships with Unknown Minds,Cambridge Quarterly of Healthcare Ethics,32,4,10.1017/s0963180123000191,"Danaher, John",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,482–495,,WFQM26K2
Speech and Inquiry in Public Institutions of Higher Education: Navigating Ethical and Epistemological Challenges,Educational Philosophy and Theory,53,11,10.1080/00131857.2020.1773794,"Bindewald, Benjamin; Hawkins, Joshua",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,1074–1085,Publisher: Routledge,B4EJN85H
Toward a Pedagogy of Humility as Experience,Educational Philosophy and Theory,55,2,10.1080/00131857.2022.2104156,"Park, Jae; Bae, Anselmo",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,195–206,Publisher: Routledge,VL6WLLUE
Can Ai Weapons Make Ethical Decisions?,Criminal Justice Ethics,40,2,10.1080/0731129x.2021.1951459,"Bellaby, Ross W.",2021,,journalArticle,,,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,86–107,,VUYH794F
Disclosure of Suicidal Thoughts During an e-Mental Health Intervention: Relational Ethics Meets Actor-Network Theory,Ethics and Behavior,31,3,10.1080/10508422.2019.1691003,"Heinsch, Milena; Geddes, Jenny; Sampson, Dara; Brosnan, Caragh; Hunt, Sally; Wells, Hannah; Kay-Lambkin, Frances",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,151–170,Publisher: Routledge,YQ8662QG
